UID	HSC-1	HSC-2	MPP-1	MPP-2	MPP-MEP	LMPP-1	LMPP-1-cycling	Multilin-1	Multilin-2	MEP-1	MEP-2	MEP-Eryth-1	MEP-Eryth-2	ERP-1	ERP-2	ERP-3	ERP-4	ERP-5	ERP-6	ERP-7	ERP-8	Erythroblast-1	Erythroblast-2	Erythroblast-3	MKP-early	MKP-late	MK-Platelet	BMCP-1	BMCP-2	LMPP-2	CLP	Pro-B-Early	Pro-B-1	Pro-B-cycling-2	Pro-B-Early-cycling	Pro-B-cycling-1	Transitional-B-1	Transitional-B-2	Pro-B-2	Pro-B-3	pre-B	B Memory-1	B Memory-2	Plasma Cell	CD4 TCM	T CD4 Activated	T CD4 Naive-1	T CD4 Naive-2	T CD8 Naive	CD8 TEM	MAIT	NK-Mature	MultiLin-GMP-1	MultiLin-GMP-2	MultiLin-GMP-3	preNeu	immNeu-1	immNeu-2	cMOP	Mono-1	Mono-2	Intermediate Mono-1	Intermediate Mono-2	Intermediate Mono-3	Classical-Mono	Non-Classical Mono-1	Non-Classical Mono-2	Myeloid intermediate 1	Myeloid intermediate 2	Myeloid intermediate 3	MDP-1	MDP-2	MDP-3	MDP-4	MDP-5	MDP-6	pre-DC-1	pre-DC-2	pre-DC-3	cDC1	cDC2-1	cDC2-2	pDC	ASDC	Mac	MSC Fibroblast-1	MSC Fibroblast-2	Osteoblast	Stromal Vascular
PHF20	0.770582838	0.781628667	0.586150914	0.494325321	0.520995383	0.388947034	0.499330351	0.410655345	0.333183988	0.533920582	0.579619482	0.461426271	0.515901751	0.447115988	0.407850338	0.376145062	0.390293229	0.343575682	0.34489601	0.321414834	0.319740332	0.197828241	0.082268233	0.097097841	0.305369752	0.256633062	0	0.504949343	0.41849957	0.438532106	0.361448053	0.272162096	0.205244443	0.24243325	0.301672962	0.207099483	0.204318249	0.304775784	0.160229482	0.153913107	0.209088572	0.727716743	0.414647754	0.18966295	0.727090458	0.880717149	0.68734778	0.550454321	0.606038903	0.726500915	0.687592925	0.761963211	0.516084853	0.340188917	0.368532447	0.300518954	0.168691374	0.080682896	0.212443488	0.29685831	0.253339179	0.427077794	0.372996578	0.514374093	0.254996635	0.078424229	0.569062194	0.257388511	0.30478322	0.256473264	0.266196839	0.304815449	0.320484008	0.292290277	0.278490462	0.31718511	0.392696714	0.326267427	0.475296381	0.405995156	0.475504264	0.396714892	0.290009691	0.434320593	0.1546443	0.252753197	0.11538285	0.317951141	0.191664814
MPDZ	0.099532414	0.082386803	0.068393451	0.061522774	0.048500057	0.03296219	0.058247617	0.025772766	0.013066643	0.02907248	0.044293872	0.01516965	0.025454803	0.009625997	0.01183953	0.016477015	0.00854765	0.019298942	0.003654736	0.002918482	0.003904963	0	0	0	0.033324436	0.002193145	0	0.006509789	0	0.008598423	0.001586257	0.000527652	0	0	0.001001889	0	0	0	0.000150845	0	0	0	0	0	0	0	0	0	0	0	0	0.000752929	0.062179383	0.02549914	0.030408404	0.018989324	0.004072304	0	0.002452076	0	0	0	0	0	0	0	0	0.002067971	0.003389695	0.000451112	0.006912608	0.010474912	0.00304278	0	0	0.000917837	0	0.00225148	0	0	0	0	0	0	0.015337226	0.194184941	0.10175433	0.124178941	0.119012346
CD109	0.564961267	0.395892191	0.376047309	0.346569682	0.234071044	0.285787151	0.374850004	0.326000944	0.259778747	0.176407255	0.149571723	0.114309732	0.125711433	0.077321792	0.067813324	0.06980608	0.044181596	0.03900458	0.026359675	0.011209661	0.002972783	0	0	0	0.105468695	0.118945982	0	0.115070371	0.072769257	0.276049855	0.202666316	0.197801214	0.263817374	0.264448468	0.245138213	0.262653595	0.051568611	0.256121463	0.211358527	0.29907835	0.038527532	0.003408019	0.033813615	0	0.010193979	0.018441829	0.002608862	0.004180095	0	0.003581475	0.002441942	0.00334662	0.24037756	0.215524081	0.229234347	0.157743732	0.078642728	0.010501144	0.156885931	0.142212035	0.191678502	0.032640053	0.031465335	0.037569875	0.050032232	0	0	0.099029139	0.156903426	0.108340155	0.048717752	0.155524168	0.119347091	0.190823645	0.169444002	0.161115432	0.137951184	0.123499799	0.15900755	0.106855902	0.184074728	0.186837315	0.094987979	0.087673615	0	0.03526926	0.029190891	0.014140557	0.002930429
BST2	2.720790417	2.52780021	2.158139703	2.111491137	1.535450893	1.858100481	2.093925984	1.736449623	1.764272778	1.16611446	0.970515227	0.75042545	1.251905765	1.138137932	1.40027082	1.505731075	1.111321134	1.098740342	1.266875378	0.902250132	0.850626391	0.191717438	0.119141675	0.032050118	0.158440796	0.006649388	0	1.355312322	0.855216357	1.258831703	0.86669821	0.818678291	0.629967686	0.722690453	0.860200375	0.477657321	0.30691433	0.597423896	0.580612536	0.674776252	0.203213886	0.218405795	0.341242993	1.913591114	0.227127349	0.238207701	0.158914634	0.128468933	0.276783071	0.297277681	0.287490267	0.720474898	1.749858471	2.05858588	1.982933576	1.838464427	1.539843606	0.7644487	1.884468987	1.72525343	1.359627876	1.001078452	1.049691149	0.749726215	0.938017815	0.140687278	0.821052514	1.867807524	1.981430293	1.844615116	1.093133574	1.753569154	1.343712603	1.099366476	1.096002519	0.970300701	1.369517282	1.687199619	1.044319866	1.448219249	1.267227894	0.885978364	0.922952897	0.899908864	2.298459663	1.570070994	1.404349969	1.96544139	1.275600264
PCLO	0.133806696	0.065254528	0.074732076	0.044908541	0.038636393	0.03420644	0.056583181	0.040461577	0.019819305	0.025114075	0.010517016	0.007654107	0.00615132	0.004167593	0.003374424	0.002340996	0.002071796	0	0.000232745	0.000253148	0	0	0	0	0.005456749	0	0	0.00704704	0	0.009316284	0.008188613	0.005419515	0.001832321	0.008306192	0.008803981	0.002979694	0.002747377	0	0.013770298	0.038241777	0.002644803	0	0	0	0	0	0	0	0	0	0	0	0.016083091	0.014571012	0.028985576	0.004086623	0.003566001	0	0.003409911	0	0.001109458	0	0	0	0	0	0	0.001314222	0.004647967	0.002121295	0.006298974	0.008169512	0.00455072	0	0.004495262	0.001425335	0.000281269	0.0024787	0	0.003444239	0	0.00148226	0.002412653	0	0	0.070956386	0.070863396	0.129494667	0.082703786
IFIT3	1.161999073	0.24332185	0.161369456	0.245763022	0.173180936	0.171383035	0.25911106	0.125306909	0.137633811	0.214500584	0.15435401	0.283267453	0.260682523	0.294363563	0.45449097	0.401337663	0.422551502	0.392985709	0.585927548	0.502849953	0.598386066	0.338148708	0.354471211	0.076330413	0.111853696	0.112789187	0	0.054059254	0.023474584	0.131177864	0.086919521	0.057653188	0.095735971	0.132155285	0.093690943	0.049324405	0.037508068	0.085971387	0.160746258	0.183680461	0.023267855	0.02680241	0.090303387	0	0.434802283	0.086773514	0.091189067	0.032629367	0.019666742	0.601498054	0.210283937	0.473270311	0.402925653	0.217097953	0.129834302	0.061857156	0.04978644	0.028327873	0.002224278	0.004947466	0.002718604	0.141953507	0.119373266	0.08011264	0.036829488	0.008204676	0.341913362	0.02169095	0.007473401	0.002067191	0.097334261	0.025416085	0.002693446	0	0.001432884	0.001676502	0.002450956	0	0	0.001518104	0.00910819	0.003179867	0	0	0.233770221	0.198883036	0.498767672	0.63548154	0.799017302
HIST2H2AA3	0.419849126	0.673507223	0.376576068	0.347970719	0.32548424	0.139920639	0.204654971	0.092690727	0.098533948	0.081489624	0.2248874	0.078401845	0.123434354	0.120169704	0.091563029	0.066272035	0.064523096	0.049354717	0.057732342	0.030463345	0.020321087	0.03169032	0.028226534	0.028671828	0.051052316	0.023722339	0	0.18627949	0.18954825	0.216297376	0.112332084	0.087928338	0.146407951	0.487468473	0.196523473	0.796879983	0.220441107	0.960216734	0.342052619	0.498005315	0.586942048	0.230167723	0.02273525	0.281617836	0.142086747	0.13096504	0.04042693	0.083879989	0.061022193	0.484257827	0.436490535	0.26435877	0.27704729	0.115416515	0.080570644	0.084431887	0.115759704	0.040966791	0.0832133	0.084390227	0.10851931	0.228116604	0.165366712	0.119978183	0.129526205	0.04570836	0.271444497	0.092480314	0.031905915	0.067608999	0.181080046	0.041555636	0.024210519	0.033630986	0.079154745	0.089548711	0.037955793	0.031949824	0.035823723	0.018126585	0.058548914	0.111800622	0.106045459	0.049962523	0.0163122	0.155324376	0.329977706	0.826311261	0.560586791
EMCN	0.191885827	0.168710778	0.077133728	0.053762079	0.003816207	0.011736189	0.028446069	0.016245307	0.010672087	0.002719301	0	0.002831582	0.003030146	0	0	0.003201732	0	0	0	0	0	0	0	0.004527006	0.000763526	0	0	0	0	0.047908299	0.012228735	0.004041764	0.006871593	0.000472604	0.011640282	0.005503348	0	0.005350444	0.004503714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003030501	0.014333746	0	0	0	0	0	0	0.000543395	0.002773465	0	0	0	0	0.000302592	0.001096001	0	0	0.003108958	0.000713105	0	0	0.001743158	0	0	0	0.002437456	0	0	0	0	0	0.242436635	0.106772182	0.08541707	0.187198463
IFIT2	3.262479036	0.149355591	0.184702805	0.059110024	0.052237974	0.028859199	0.223778032	0.037941273	0.044024807	0.037968848	0.058863811	0.085399881	0.106077899	0.078649061	0.081363603	0.057720931	0.071103647	0.051543953	0.068737415	0.075071455	0.044443811	0.056032967	0.051333795	0.00709003	0.099758018	0.066110236	0	0.029289361	0.045406013	0.345820048	0.154583455	0.14767397	0.138426302	0.179577552	0.104723358	0.124043555	0.041947333	0.329568332	0.273261775	0.456448275	0.07145379	0.074597641	0.182871228	0.017657987	1.039039052	0.351828172	0.117730771	0.068915988	0.037121348	1.320838881	0.638396578	1.366173395	0.244997733	0.040602152	0.026229105	0.008111794	0.012498627	0.016270803	0.013109272	0.010970544	0.006580515	0.137138551	0.111591538	0.162500025	0.025357782	0.018254438	0.487452638	0.010003316	0.002357091	0.004354615	0.177404639	0.041255404	0.04361722	0.053731335	0.074872775	0.138793171	0.00131483	0.001128614	0.006397473	0.009137941	0.016977597	0.058572643	0.292694146	0.015217371	0.220367346	0.032869826	0.125084156	0.317959074	0.280285998
PCBD1	0.888987926	0.781197831	0.664478483	0.605071154	0.453095033	0.615241806	0.683652213	0.489243239	0.32959374	0.505806809	0.444927824	0.33663184	0.504407514	0.452442205	0.551292113	0.596656208	0.5645442	0.548086878	0.613986345	0.562213821	0.468959683	0.124061703	0.097713283	0	0.499641724	0.37737234	0	0.189422996	0.06229305	0.135027077	0.051555264	0.026494632	0.00715625	0.002276954	0.040484	0.006154332	0.099420691	0.024248391	0.00230762	0	0.01202266	0.007091819	0.021714	0.555338813	0.027266567	0.032676607	0.029553579	0.021025282	0.034957839	0.031645709	0.026571405	0.035602327	0.44299439	0.664432509	0.64614734	0.553672246	0.348683724	0.07242815	0.44940908	0.461366546	0.344116947	0.141510431	0.211797547	0.140533308	0.185577376	0	0.146736213	0.496280008	0.588336974	0.511939261	0.026047075	0.375605118	0.219766009	0.184626883	0.163783655	0.089368867	0.511854643	0.464530242	0.496450445	0.515965186	0.483292258	0.289650492	0.116638708	0.373330971	0.700787255	0.053063228	0.14132413	0.121956329	0.140323603
