	AEC	AF1	AF2	AM	ASMC	AT1	AT2	BCell	Basal	CAP1	CAP2	Ciliated	Deuterosomal	IM	LEC	MON	Mast	Mesothelial	NK	PC	PNEC	Plasma	Proliferating AT2	RAS	SCMF	Secretory	TCell	VEC	VSMC	cDC	pDC
DKK2	7.328910711890548	0.4274675221430689	1.0160496143657949	0.22428771712992082	0.3605720959328452	0.6713711813097376	0.07861371072890462	0.41430567631701376	0.8087287266949004	1.4637854234087664	1.5201220306039445	0.3811685539627445	0.2726432987535532	1.2683289409993126	2.233987605560372	1.0969774847472942	0.0	1.8226143210425776	1.4938056027207736	0.5641368633573329	0.301622016328394	0.0	0.22354303759222843	0.7258219726089684	0.7633181177647487	1.110455718165475	0.4641863633507541	1.7669978143520104	1.1158589036508868	1.351270630024431	1.3948265013300607
AL137139.2	6.959402707704958	1.3541625999586788	1.338626722474448	1.197837319504998	2.1060216259293987	0.6808480775376384	0.43281579618172855	1.1942612983054315	2.5471396364204963	4.96597692286174	2.3705896534030138	0.6510165484382437	0.3213576684372337	0.8047466053845865	3.615558218527705	0.7610677448842064	1.243242132145839	2.5438241312769465	0.9093106924013121	1.2140870830872599	1.32360524098227	0.9680791108403697	0.7259442258388363	1.2822641935929862	2.8888684187949307	0.9911870514196462	1.3273577014524305	4.309399496562379	1.5305158451134941	0.7286771247534821	1.240875434052041
PTPRB	7.980393158112206	0.8711685499656977	1.7601896004541246	0.9075756791932422	2.198462202342641	0.61448599903127	0.26249315838220727	1.7854079681873047	1.1624326116336652	7.78207504348964	4.289463056916211	0.3707682752948949	0.0	1.091842350428813	6.840614426357311	0.9615128356020884	4.2111280964465765	3.5639924803025402	1.9570211025911117	2.289623271124763	2.1250017746314875	2.872167557010528	0.3288956271151234	0.40547115430473035	2.086084476960839	1.6090766644750945	1.2382350863378861	8.086039114569322	2.1162737021667435	1.1069559821704544	1.8078588885168254
GJA5	6.539516150330283	3.2703835760634923	2.6103130007915643	0.19579761691902908	0.8241320875401202	0.1236412118859248	0.0664002115902518	0.1641882975637349	0.0	3.940736696728656	1.0958455416823873	0.19294077381416638	0.0	0.3723587470904761	2.385033170850519	0.2946467435485071	0.6695723094793111	2.4702580577570847	0.5702585896621919	1.4433937750746018	0.47559811747714925	1.2492273847160487	0.18372438093389268	0.12011572815880538	1.4513577945617044	0.06719887626704919	0.31847844731405883	3.7276506404852787	1.9767113873178839	0.4490440874155018	0.984235136561278
CALCRL	7.731408858936503	1.4836926142618816	3.146470596149739	0.7887049110934696	2.1834824353205105	0.34379070386220256	0.1031555974631049	1.1476145098861694	0.0	7.33688273816262	6.530659173883257	0.28300750234520955	0.0	2.3717100627800645	7.131730481565066	2.989575344138374	2.2765290634425273	3.207413673564185	1.4032320661628483	2.8584076821120967	1.6572908646783968	0.0	0.21551449867291445	0.27208860444317845	2.2235549930812333	0.8097702447891739	1.3864266746680167	7.822824791555767	4.273289051746097	3.7004316413871092	3.6565813822314017
LDB2	8.350312508376254	5.214049050423426	6.610543633280347	0.5038387278706523	4.195281977539191	0.6646128272308206	0.22157172787704216	1.0216021586892459	0.9743702530471768	8.3406242093629	7.847182712074055	0.737551624457091	0.15342367588893907	1.297227844731288	7.84502887166675	1.8543012620324404	5.503823866240306	5.465601817000972	4.702256122731506	5.9723497102612475	2.6288888219999142	1.286189674103105	0.26576186361492116	0.29272846991632273	3.679658527226501	0.9203337533148102	4.42881430682943	8.03276124150717	5.096311317804821	1.3298805539574468	2.9659800425099796
BMX	5.700142669767817	0.21018809537141345	0.5456115445663706	0.6264851871130415	0.3706587654323397	0.28142466133580535	0.39777852716708045	0.1700292220078843	1.8190271498053914	1.3170093925958328	0.8584722437173727	1.0660665887466898	0.7173791288310611	0.3395712982184977	4.337593544458114	0.1119624229812474	0.8572858065230493	0.6905929415760522	0.30429871365829886	0.4744428002191725	0.3650372916827418	0.0	0.33388204419692125	0.6711651733873278	0.44724009988240004	1.0232000690992733	0.0668252225482151	2.5154269809616983	0.0	0.13606744138831184	0.0
PDE10A	6.87624457738524	2.735779558659748	4.134170220952916	0.10961616080287384	4.1699824520487745	0.14666812799040368	0.046403182127268974	0.0	3.1092222417032884	5.537141252713458	1.9328446670206882	1.5859956692505728	3.0182567046328863	0.3376730555224042	3.8082397214233814	0.704563939292253	2.5689713775747918	3.012088063987216	0.33374072366936086	2.044091231997836	4.253304256468384	0.0	0.9431755533685539	1.023011874871507	3.4423991225638244	5.200017983072918	0.5791631362091545	5.98166559023365	3.064153175505588	0.0	0.984235136561278
ST8SIA6	6.892705876161358	0.46198534483951764	0.9589988738405576	0.3252574418436155	0.9821200399138105	0.2437099924587975	0.07582726619856033	0.849512063580185	0.3546681577096941	5.993848366353117	4.297937436705498	0.3959474610666049	0.10642668991873337	0.6309103301033973	3.6903952211509496	0.6407676806872701	6.498351196912274	1.745688226076883	5.681446657473762	0.8493648026959223	1.132073099568309	0.0	0.2768688934086199	0.14907136791831127	0.5346048763608047	0.39055862031365024	2.952623564284473	6.996030604508681	1.2919449007438075	0.42851395493091654	2.0534686893812135
NOS1	5.912338263685734	0.41330333861684604	0.5718372261464546	0.22247968864964118	0.4841364207303917	0.2206248365247751	0.5067891945535653	0.5431970432803052	0.24582245091968355	1.1940549341758986	1.027985123597548	0.2437581796220581	0.2743575257078466	0.6604732028554088	1.5964823076713568	0.6334008435705699	0.9778512962282392	1.2880982279301192	0.30625284874657804	0.37321286573553886	1.3844548645878727	0.0	0.5993626198596977	0.4469198241301577	0.6835999242007382	0.29224165266193103	0.5097249762614687	5.796711583942596	0.930028579553952	2.292818878755658	1.2484309844476447
