UID	Chondrocyte	MEC	AF2	AF1	SCMF	Pericyte	ASMC	VSMC	Mesothelial	Neutrophil	maDC	IM	AM	iMON	pMON	cDC1	cDC2	pDC	PNEC	Megakaryocyte/Platelet	Plasma	CD8 T	NK	ILC	CD4 T	Treg	B	Mast/Basophil	CAP1	CAP2	AEC	SVEC	VEC	LEC	Ionocyte	Tuft	Basal	Suprabasal	Ciliated	AT1	RAS	AT2	Deuterosomal	Goblet	Secretory	SMG Basal/Duct	Mucous	Serous
DKK2	0	0	0.072719649	0.010596264	0.001927856	0.002716906	0.022904122	0.02958247	0.011156064	0	0.01951776	0.03182147	0.016673064	0.056776081	0.012125277	0.013131644	0.020114772	0	0.008449957	0	0.007021362	0.045639684	0.023221262	0	0.018049704	0.01958873	0.024868383	0.05732118	0.035426977	0.003025818	2.118306775	0.008276316	0.040037537	0.01201927	0	0	0.003023922	0	0.024149558	0.015907356	0.016355005	0.021079578	0	0	0.01093577	0	0	0
GJA5	0	0.045008795	0.015321262	0.149863665	0.029986399	0.030113541	0.009702026	0.133341165	0	0	0	0.009354198	0.003925196	0.005340202	0.003473941	0	0.001787708	0.0140372	0	0	0	0	0.001279949	0	0	0	0	0.002717916	0.452577059	0.058034438	1.921124939	0.052026184	0.397249202	0	0	0	0.001022659	0	0.007655139	0.011514838	0.008951734	0.002823186	0	0.001139384	0.004673295	0	0	0.002716365
BMX	0	0	0.015502018	0.023135727	0.007605822	0	0.001747848	0.00142784	0.082612523	0.106363932	0.021541173	0.01540951	0.030938981	0.025843873	0.020333526	0.010418281	0.026057557	0	0.053979195	0	0.021036879	0.010848964	0.013611542	0	0.008869949	0.03524142	0.014182704	0.001131376	0.0614283	0.003542126	1.368933871	0.208406662	0.076821357	0.44509998	0	0.282877168	0.003960076	0	0.023766691	0.014751707	0.013764057	0.015485988	0.01334076	0.002702865	0.014756591	0	0.006194219	0.004010086
LINC00551	0	0	0.002937406	0.001575752	0	0.002014076	0	0.001615806	0	0	0	0.000880721	0.002823373	0.001099829	0	0	0.003262561	0.009771504	0.005582555	0	0	0.001420524	0	0	0	0	0.002412233	0.00155443	0.068436804	0.03437296	0.624919119	0.001844082	0.000976955	0.002394738	0	0	0	0.002602693	0.001425381	0.000985812	0	0.003778948	0	0.005613754	0	0	0.005712272	0
HEY1	0	0.079726841	0.011552988	0.021001127	0.00710441	0.071159076	0.013202012	0.053392271	0	0	0.011380502	0.021238123	0.036560035	0.030196176	0.024208748	0.01950399	0.004489826	0	0.258811195	0	0.020597668	0.008543956	0.00335104	0	0.001034654	0	0	0.18977982	0.854863756	0.123839215	1.785693169	0.105742473	0.337063437	0.026820196	0.1713328	0.256366721	0.189138937	0.773189057	0.074127912	0.011288533	0.017895715	0.008432958	0.121451768	0.706822004	0.30172107	0.281221934	0.409340684	0.66162844
IGFBP3	0	0.410398723	0.474888424	0.157297419	0.206873055	0.104550595	0.36452719	0.121686795	0.265487865	0	0	0.003508293	0.013094272	0.003539831	0.005410918	0.024864129	0.002797993	0.048084873	0.058374056	0	0.012215182	0.053184829	0.024447252	0	0.033317448	0.003289344	0.011147394	0.001046639	0.071726268	0.108687161	2.353574195	0.198940952	0.055051627	0.003068557	0.197050899	0.212304341	0.53254271	1.552893437	0.083714078	0.006640419	0.082248797	0.006170388	0.300563514	0.975040794	0.660370046	0.813161671	0.005385758	0.050688399
CXCL12	0.400482097	0	0.79340578	0.635053097	0.303998488	0.006059369	0.05738119	0.485836014	0.072277702	0	0.005194326	0.220179317	0.003491914	0.002980268	0.00700511	0	0.006312764	0	0.009394864	0	0.003416389	0	0.001643184	0	0.001863747	0	0	0.003207038	0.209792605	0.010597297	1.77361537	0.409712272	0.098155951	0.007069243	0.128439038	0	0.001446922	0.001523269	0.004782232	0	0.009849719	0.000670239	0	0.015190592	0.002694663	0.002549073	0.003708021	0.001175387
SSTR1	0	0	0.020027521	0.018119375	0.037579528	0.001887092	0.002503928	0.001567388	0.340544325	0	0	0.000895205	0.000543885	0.001610186	0	0.001256457	0	0	0.063960208	0	0.00083257	0	0	0	0	0	0	0.001377147	0.232913881	0.027517046	0.671112027	0.018848641	0.099817861	0	0	0	0	0	0.000690085	0.002473982	0	0.000872422	0	0.000850643	0.006206489	0	0	0
ENPP2	0.523564511	0.003679566	0.048003147	0.484966856	0.451312501	0.039466257	0.071214155	0.120436342	0.27277348	0	0.190249231	0.388015595	0.02756373	0.019666895	0.038151599	0.303851272	0.168819187	0.492995321	0.103475913	0	0.011324226	0.014170956	0.010374318	0	0.034008465	0.015809188	0.005898238	0.058082252	0.22358544	0.013530957	1.697787719	0.753166934	0.041354337	0.058966588	0.074347031	0	0.007512581	0.003127169	0.085879225	0.265309749	0.019892851	0.013968489	0.005343539	0.001243129	0.011221247	0	0	0
EFNB2	0	0.160183242	0.046053478	0.021291746	0.052928251	0.014599549	0.048220448	0.046980633	0.572555328	0.073647047	0.144130717	0.01338475	0.01362399	0.011518187	0.006623821	0.010832717	0.006960138	0	0.033642917	0.21927133	0.023939409	0.016843605	0.022958432	0	0.030673932	0.002350946	0.020875963	0.055450356	1.085074974	0.361966566	1.956242422	0.554527476	0.354981244	0.571659577	0.538814568	0.442082518	0.283416182	0.397975313	0.040414289	0.213475188	0.293846323	0.36955406	0.099319397	0.373693775	0.306124549	0.701659272	0.229310979	0.045443842
THSD7A	0	0.022015224	0.045729184	0.046885212	0.014067172	0.002199894	0.023762028	0.00283954	0.098588667	0	0.001782113	0.026359651	0.023233706	0.025198426	0.027578499	0.042615755	0.026438904	0.062691893	0.095502931	0	0.015951228	0.015571866	0.02909769	0	0.032616664	0.031339182	0.026114333	0.072023484	0.241291694	0.030855265	1.499046921	0.60390031	0.146305894	0.650025754	0.094519338	0	0.141269206	0.13750126	0.059150478	0.421091504	0.228937547	0.203088486	0.018788292	0.089737483	0.139422739	0.020338969	0.007305539	0.017292037
SERPINE2	1.490912291	0.857553927	0.935368431	0.073622129	0.367958113	0.019188416	0.166333187	0.014890483	0.214187787	0	0.011828364	0.005720768	0.016214683	0.008339162	0	0.045599517	0.007089284	0.009778496	0.013173158	0.828530234	0.085778526	0.033985452	0.07377729	0	0.008365086	0.098075801	0.046457091	0.011092638	0.014041155	0	1.433755827	0.053380643	0.123082622	0.004808533	0.015773095	0.058185374	0.309059998	0.045457209	0.008775169	0.003316697	0	0.004328327	0.022770506	0.01988841	0.001697709	0.016284115	0.021457872	0.058519622
NPR3	0	0.00651043	0.039770465	0.007435446	0.087275775	0.022103852	0.119580792	0.171993113	0.009692141	0.066759497	0.035372738	0.011037987	0.010577886	0.009378451	0.00785728	0.00275317	0.010375377	0.048855549	0	0.329163684	0	0.008683405	0.005821492	0	0.007501994	0	0.001198694	0.002167744	0.714012391	0.097834247	1.138403102	0.141342069	0.684659055	0.00845475	0.014591904	0.003022688	0.011642148	0.023962771	0.103835012	0.079558391	0.018004442	0.000741437	0.00769196	0.004326504	0.021893454	0.000729995	0.00598021	0
AIF1L	0.963716023	0.125623434	0.243235018	0.009663045	0.002233168	0.017503508	0.007258498	0.249027215	0.010347093	0	0	0.00287469	0.005487909	0.003070201	0.002416043	0	0.008215942	0.002340041	0.008549164	0	0.0146367	0.01081083	0	0	0.004669405	0	0.00733719	0	0.192608408	0.047535871	0.86289535	0.323147191	0.158846489	0.009972873	0.009822423	0.210057272	0.018418294	0.043389635	0.009319376	0.030911871	0.039513618	0.01385678	0.095841199	0.026647906	0.040536625	0.152255941	0.110322122	0.524798967
F8	0	0.045014435	0.057563859	0.069013611	0.046897974	0.061784892	0.041597386	0.016837149	0.09935764	0.047474963	0.02297478	0.040253849	0.155807409	0.021359966	0.02632858	0.075467726	0.052149689	0.020115623	0.19988851	0.014019542	0.042947101	0.048901506	0.040963911	0	0.054311046	0.046413958	0.019539788	0.044702401	0.723773818	0.106238617	1.425523189	0.765113599	0.47250847	0.992813205	0.049090581	0.0144421	0.05224837	0.049703613	0.111232649	0.074257108	0.084657396	0.070729213	0.013933492	0.040013283	0.030148983	0.008788974	0.025420016	0.046125506
GIMAP8	0	0	0.001980241	0.009044714	0.001947012	0.009538946	0.014360742	0.004304595	0.096706858	0.016200966	0.014582572	0.169609548	0.051594919	0.182787506	0.325572893	0.007195712	0.10919804	0.012908088	0	0	0.002808356	0.066352882	0.072322798	0	0.096339488	0	0.006878061	0.017622364	1.01515358	0.727199244	1.339514549	0.64754447	0.688557695	0.675068693	0	0	0.002677665	0.001335894	0.004721096	0.006972743	0.014988696	0.008595796	0	0.005595631	0.010074512	0.002026385	0.002097845	0
SHE	0	0	0.070725734	0.030274946	0.013724252	0.007377068	0	0.003458035	0.085765806	0.014056692	0.029134882	0.067380434	0.008652416	0.038796349	0.016216753	0.215409285	0.009944133	0.011454886	0.053444337	0.128959561	0.004525759	0.0068779	0.011794915	0	0.006043888	0.018216136	0.027365083	0.058583183	0.810849546	0.213251436	1.151745155	0.551590984	0.818859908	0.569545999	0.002637241	0.004168893	0.038811337	0.002047078	0.013815069	0.099754775	0.041769736	0.201257511	0.029108993	0.054921614	0.051227492	0.003397813	0.004943938	0.045457013
DIPK1B	0	0.061444503	0.02109868	0.002210471	0.058520808	0	0.043734882	0.00487393	0.006197729	0	0.007400337	0.008309325	0.00542301	0.005653632	0.004786044	0.012404089	0.009684961	0.082674699	0.052027984	0.407122882	0.007808946	0.001375548	0.004636677	0	0	0	0.008413797	0.011593794	0.253269725	0.124032739	0.567281065	0.2320921	0.159957098	0.002363687	0.017211562	0.012660055	0.018389215	0	0.005615461	0.005840066	0.010575915	0.051531908	0.000916592	0.021646371	0.006968146	0.022395193	0.005059836	0.034520752
TSPAN2	0	0.33952069	0.018469544	0.015127742	0.112826922	0.044471351	0.603919729	0.323034383	0.226546987	0.020888648	0.11070626	0.005557173	0.004734165	0.055611539	0.003499383	0.185514804	0.042715625	0.081832521	0.00701717	0.242001206	0.059824017	0.113643163	0.171156298	0.163898751	0.061465967	0.008738354	0.007055146	0.005096932	0.109490293	0.022927843	0.902091193	0.082085572	0.152153799	0.058972022	0.051572572	0.002033118	0.048779036	0.023640987	0.09407223	0.001111355	0.001091874	0.002783249	0.611879018	0.024115874	0.029073118	0.140486768	0	0.10096596
CYP26B1	0	0	0.01441578	0.005967262	0.092153913	0.002014202	0.024527905	0.027927744	0.065404806	0	0	0.001026398	0	0.001214415	0	0	0	0	0	0	0	0	0.001014586	0	0	0	0	0	0.034683234	0	0.351631659	0.00462429	0.015761979	0	0	0.216109968	0.014417171	0.00353525	0.000696206	0.002540777	0	0.000385088	0	0.001364034	0.00155755	0	0	0
ARC	0	0.161789357	0.137779555	0.011184019	0.010908288	0.005662203	0.007640478	0.012413785	0.260454369	0.031982112	0	0.006032655	0.008393455	0.002991187	0.003342822	0.003776095	0.010336851	0	0.134543847	0	0.004266675	0.006015606	0.00565214	0	0.002972705	0.008109308	0.000856046	0.004026485	0.18805264	0.308349383	0.640716758	0.074622941	0.178505597	0	0.062188759	0.047924993	0.014830611	0.01967108	0.00253786	0.00992108	0.06746514	0.069778996	0.010215497	0.009781278	0.012995349	0.015325376	0	0
DLL4	0	0	0.001170096	0.004466888	0.002473462	0.013125469	0	0.001658192	0.189062033	0	0.032253361	0.002162237	0.001371435	0.000966526	0	0.020760768	0.00303181	0.005357437	0.245494114	0	0.018302898	0.0010617	0.00456744	0	0.003815889	0	0	0.001379259	0.401950643	0.470752076	0.832598038	0.204973005	0.077896088	0.421359731	0.055162101	0.015634041	0.001825829	0.001077631	0.000541049	0.035616274	0.046793703	0.102004337	0.011598308	0	0.00293758	0	0	0.040753809
PIK3C2B	0	0.059930212	0.045243903	0.022896576	0.005365261	0.015017093	0.018072727	0.022459376	0.112267688	0	0.03183008	0.025976464	0.042490156	0.016914375	0.010034727	0	0.05148471	0.015127689	0.161534263	0	0.214689251	0.12278733	0.04146231	0	0.079710069	0.13526619	0.20214746	0.298307678	0.380327747	0.383818358	1.156635613	0.306048649	0.571604642	0.264932922	0.004453592	0.471084015	0.094282954	0.098585425	0.087260088	0.0304001	0.07418912	0.093143476	0.078825891	0.192662585	0.062616357	0.177545475	0.08016686	0.16100123
PKN3	0	0	0.012118506	0.014199453	0.007605822	0.007386626	0.002810232	0.016955087	0.024937773	0	0.007357611	0.012770048	0.01763868	0.007632977	0.003645362	0.077906105	0.015021342	0.057380632	0.006211167	0.060419347	0.008900582	0.013595508	0.019325987	0	0.007920944	0.061091851	0.008289006	0.013416291	0.202372806	0.365964859	0.650692098	0.32254068	0.278226366	0.25533606	0.018741929	0.0026118	0.044256622	0.039910815	0.032474488	0.02552825	0.028770852	0.065460723	0.206086713	0.045771523	0.04782088	0.110639052	0.052663539	0.068258402
KCNMB4	0	0.073751283	0.063863558	0.14865151	0.091504651	0.058556153	0.010773767	0.063680634	0.071372599	0	0.017065846	0.094011503	0.014532254	0.026496084	0.006373536	0.030793657	0.042683421	0	0.016437255	0.052087748	0.005707965	0.024180303	0.033745073	0	0.035231824	0.015767398	0.020152646	0.024208992	0.533624366	0.2714089	0.763844242	0.125554479	0.437070827	0.030878106	0.06243706	0.025573407	0.05216705	0.005732062	0.008190401	0.024994099	0.015759222	0.01039328	0	0.009067596	0.012939534	0.021535897	0.00433187	0.012470143
