UID	Basal	Hillock basal	Hillock squamous	Aberrant basal	Deuterosomal	Ciliated-TB	Ciliated-Bronch	Ciliated-axon	Club-TB	Club-nasal	Club-Bronch	Goblet	Goblet-nasal	Tuft	Ionocyte	PNEC	SMG Basal	SMG Duct	MEC	Mucous	Serous	Serous-nasal	RASC	AT1	AT2-AT1 int.	AT2	AT2-prolif	AdvFB	PBFB	SPFB	IntFB	AF	iALF	LipoFB1	SCMF	ADM	cADM	ASMC	VSMC	cVSMC	LSMC	Pericyte	Chondrocyte	PC-prog	Mesothelial	PAEC	PArEC	SAEC	PCEC	CAP1	CAP1-int	CAP2	CAP2-int	PVEC	SVEC	SVEC-act	LEC	LEC-cycling	CD4 T	Treg	CD8 T	T-prolif	iNKT	NK	ILC1	B-lineage	B	Plasma	AM	AM-lipid	MT+ AM	AM-prolif	IM	tMDM	iMON	pMON	cDC1	maDC	Langerhans	pDC	Neutrophil	Mast	HSC	Megakaryocyte	Erythrocyte	Schwann
KRT15	6.715	6.48	4.12	2.289	1.195	1.419	0.4616	0.6584	1.042	4.468	1.532	1.677	2.644	3.617	1.291	0.02041	2.273	2.281	5.58	1.502	0.02412	0.09426	1.662	1.542	1.536	0.7173	0.8716	0.103	0.0	0.3098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05348	0.0	0.0147	0.0	0.0	0.0	0.0	0.02432	0.005653	0.0	0.01653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01471	0.01262	0.0	0.0	0.0	0.0	0.0	0.0
KRT5	6.089	6.372	4.023	1.948	0.4009	1.079	0.2431	0.1295	0.6174	5.108	1.302	0.4242	1.399	3.77	1.563	0.0	1.636	1.837	5.162	0.4282	0.0	0.03067	0.3012	0.0	0.06202	0.0	0.008556	0.08298	0.0	0.1603	0.0	0.1213	0.0	0.0	0.0	0.0	0.0	0.09234	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	0.004395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.209	0.0	0.1183	0.0	0.0	0.0	0.0
MIR205HG	5.781	5.688	4.827	2.352	2.464	2.193	1.662	1.298	1.634	4.084	1.643	1.588	1.961	4.281	0.7854	0.1921	2.214	1.384	5.075	0.6668	0.02263	0.04361	1.256	0.01049	0.3989	0.0	0.07116	0.1519	0.0	0.05752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01356	0.0	0.0	0.2143	0.0	0.0	0.0	0.06006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01377	0.0	0.0	0.0	0.0	0.0	0.02051	0.0	0.0	0.06362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07525	0.0	0.0	0.0
TP63	4.3	3.241	1.474	4.238	0.3013	0.326	0.1156	0.1032	0.294	2.03	0.238	0.6304	0.4468	3.269	0.2834	0.07995	1.954	0.6231	3.429	0.08472	0.0	0.008828	0.795	0.441	1.587	0.6384	0.185	0.1422	0.1819	0.4643	0.1799	0.2511	0.03897	0.1072	0.1315	0.1927	0.1442	0.09234	0.01222	0.02924	0.08959	0.0469	0.0	0.0	0.04824	0.0	0.3647	0.03287	0.07295	0.1775	0.1898	0.235	0.1538	0.2263	0.004841	0.1002	1.151	1.526	0.2356	0.01814	0.1262	1.032	0.8926	0.0	0.04798	0.1477	0.09784	0.08166	0.1494	0.1813	0.3084	0.1703	0.2716	0.7211	0.02919	0.1543	0.07579	1.687	0.02926	0.6517	0.0	0.05189	0.02552	0.0	0.0	0.942
DLK2	2.51	2.26	0.7011	0.01965	0.01151	0.1035	0.0	0.01419	0.04718	0.5788	0.1204	0.02872	0.00829	0.504	0.0	0.07995	0.0	0.1113	2.016	0.1647	0.0	0.0	0.1584	0.0	0.02357	0.001884	0.008556	0.0212	0.01136	0.02585	0.0	0.02094	0.09922	0.04563	0.0	0.07308	0.01675	0.0	0.0	0.0147	0.02292	0.0	0.0	0.04165	0.0834	0.005653	0.01148	0.0	0.0	0.0	0.005472	0.005923	0.0	0.009965	0.009667	0.0069	0.4798	0.4298	0.02308	0.05375	0.0	0.02051	0.0	0.0	0.04798	0.07573	0.02011	0.001615	0.0	0.002923	0.0	0.0	0.0	0.01158	0.0	0.008544	0.00862	0.0	0.0	0.02513	0.0	0.0	0.0	0.0	0.0	0.0
CYP24A1	3.746	3.386	2.218	2.14	0.2729	0.7479	0.2592	0.2839	1.131	2.252	1.037	1.593	0.4468	1.99	0.3668	0.0	0.6552	0.5512	0.37	0.0	0.006068	0.04361	0.1459	0.0	0.5794	0.0	0.0	0.0	0.0	0.0	0.009547	0.0	0.0	0.0	0.02482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069	0.0107	0.0	0.01159	0.01814	0.0	0.0	0.02079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01262	0.0	0.0	0.0	0.0	0.0	0.0
CDH3	4.905	4.377	3.106	3.355	1.613	2.01	1.478	1.671	1.366	3.488	1.715	2.189	2.32	2.867	1.291	0.2624	1.446	1.064	3.877	0.2821	0.04343	0.02632	2.082	1.25	2.331	1.141	1.364	0.1228	0.03381	0.1834	0.0	0.09193	0.0	0.0	0.1085	0.01862	0.04968	0.02699	0.01222	0.04364	0.02292	0.02364	0.02217	0.04165	0.9651	0.01128	0.005752	0.008289	0.0	0.0	0.0	0.0177	0.005062	0.0	0.1474	0.06095	0.0107	0.02422	0.03449	0.0	0.0	0.0	0.04129	0.0207	0.01617	0.0	0.0	0.001615	0.0	0.0	0.003615	0.004012	0.005523	0.01158	0.0	0.0	0.00862	0.0	0.02926	0.01262	0.03284	0.01751	0.0	0.0	0.1022	0.02634
KRT17	8.418	8.666	8.365	7.109	3.363	3.107	1.252	1.883	3.269	7.172	4.705	3.983	4.955	5.8	3.458	0.1557	3.35	4.338	7.911	1.62	0.04638	0.4361	3.534	1.407	3.706	0.1654	1.144	0.0	0.0	0.0386	0.009547	0.3118	0.0	0.0	0.0	0.0	0.008399	0.3809	0.0	0.09986	0.1841	0.0	0.0	0.0	0.4039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005523	0.0	0.0	0.0	0.0	0.09213	0.0	0.0	0.0	0.0	0.0506	0.2672	0.02623	0.0522
TNS4	3.902	3.695	2.458	1.346	0.5894	0.788	0.5365	0.496	1.239	3.255	1.254	1.602	2.048	2.273	0.4455	0.04053	3.083	2.122	2.806	1.014	0.488	0.5463	0.418	0.005253	0.09948	0.02244	0.03811	0.1804	0.02263	0.1128	0.0	0.04158	0.1989	0.0	0.03707	0.01862	0.01675	0.0	0.1948	0.0147	0.03425	0.0	0.0	0.0	0.1732	0.0501	0.005752	0.02472	0.04336	0.1312	0.02715	0.02355	0.005062	0.03458	0.0477	0.1194	0.0107	0.02422	0.1543	0.1719	0.0326	0.1189	0.0615	0.04111	0.04798	0.0	0.02011	0.0	0.0	0.0	0.0	0.0	0.005523	0.0	0.007352	0.0	0.0	0.0	0.0	0.01262	0.0	0.0	0.0	0.0	0.0	0.02634
LINC02057	4.663	3.628	1.619	1.805	2.63	3.775	4.107	4.048	0.9442	3.228	2.377	3.034	2.097	2.732	1.203	0.6242	0.2529	1.097	0.4494	1.08	0.006068	0.02632	1.208	0.6929	0.8317	0.1297	0.1698	0.05242	0.0	0.05752	0.0	0.0	0.07692	0.0	0.02482	0.0	0.0	0.0403	0.0	0.02924	0.0	0.0	0.0	0.0	0.278	0.0501	0.1581	0.07294	0.008776	0.1725	0.2324	0.1732	0.276	0.04915	0.004841	0.0	0.0	0.0	0.0	0.07123	0.0	0.0	0.02079	0.0	0.0	0.0	0.0	0.008056	0.003276	0.0	0.0463	0.0	0.005523	0.005799	0.0	0.0	0.0	0.03137	0.0	0.03753	0.0	0.0	0.0	0.0	0.0	0.02634
