UID	Lymphatic EC proliferating	EC aerocyte capillary	EC general capillary	EC arterial	EC venous pulmonary	EC venous systemic	Lymphatic EC differentiating	Lymphatic EC mature	Peribronchial fibroblasts	Pericytes	Subpleural fibroblasts	Adventitial fibroblasts	Alveolar fibroblasts	Smooth muscle FAM83D+	SM activated stress response	Smooth muscle	Myofibroblasts	Mesothelium	Neuroendocrine	AT0	AT1	AT2 proliferating	AT2	Multiciliated (nasal)	Multiciliated (non-nasal)	Deuterosomal	Hillock-like	Club (nasal)	Basal resting	Suprabasal	Ionocyte	Tuft	pre-TB secretory	Goblet (nasal)	Goblet (subsegmental)	Club (non-nasal)	Goblet (bronchial)	SMG duct	SMG mucous	SMG serous (bronchial)	SMG serous (nasal)	Hematopoietic stem cells	NK cells	T cells proliferating	CD4 T cells	CD8 T cells	Plasmacytoid DCs	DC1	Migratory DCs	Mast cells	B cells	Plasma cells	Alveolar Mph proliferating	Monocyte-derived Mph	Alveolar macrophages	Alveolar Mph CCL3+	Alveolar Mph MT-positive	Interstitial Mph perivascular	Classical monocytes	Non-classical monocytes	DC2
SRPX2	0	0.040518595	0.017786706	0.099954221	0.072012932	0.043134029	0.00145662	0.027008681	0.135433614	0.111537839	0.167715883	0.602338625	0.504847609	0.006190826	0.000247394	0.013607284	0.145001901	0	0.062696721	0.002339238	0.079039684	0.003921983	0.020435912	0.247366676	0.091415483	0.094798774	0.145740091	0.085548565	0.090780104	0.155702605	0.013812138	0.116512518	0.02605566	0.144611056	0.008301399	0.055781418	0.156441317	0.017585938	0	0.010259578	0	0	0.005180161	0.00467862	0.006032867	0.020051012	0	0	0	0.005639509	0.003078958	0.00588442	0.020675503	0.009912346	0.022290515	0.002362738	0	0.006796241	0.001988996	0.002670275	0.002370308
C1R	0.13594694	0.196525724	0.143350382	0.40910316	0.735318378	0.401328405	0.089241873	0.391671738	3.150578041	1.851175975	2.993256067	2.683993684	2.499260733	1.270021689	0.908550013	1.032543547	1.753562093	2.181414558	0.052076421	0.50156204	0.150940637	0.296754576	0.41013546	0.233375224	0.107435846	0.122368206	0.267110939	0.08600603	0.409455569	0.265269821	0.031190989	0.060888898	0.252845164	0.088537395	0.039022067	0.044997063	0.184176478	0.120158879	0.019491279	0.053959147	0.007695825	0.00323204	0.053983932	0.02956127	0.025581664	0.056737034	0.052314115	0.052586813	0.114127875	0.050290651	0.025027436	0.034190071	0.015913757	0.031014613	0.03217495	0.027511371	0.013655153	0.041011197	0.027846908	0.016574864	0.023883073
PAMR1	0	0	0.003182325	0.000335279	0	0.001288112	0	0.002364804	0.316232686	0.01026195	0.46459767	0.439766813	0.09593588	0.009115049	0	0.023125721	0.240336683	0.192157152	0	0.001196968	0.018257752	0	0.001396634	0.016583528	0.113815048	0	0.000970554	0.000581793	0.007757591	0.002020468	0.009303506	0	0.003096035	0.000511635	0.00253182	0.00095421	0.002750563	0	0	0	0	0	0.003093847	0	0.006000194	0.001674481	0	0	0	0.000245899	0.007172112	0.000386	0.001162286	0.002954125	0.001855665	0.00059791	0	0.001549495	0.002474723	0.001488316	0.006591508
CLMP	0	0.022453666	0.02191601	0.0121859	0.025692416	0.004455285	0.04525716	0.026700458	0.419417398	0.024412917	0.476595073	0.634245734	0.527059737	0.008296622	0.001168201	0.078602433	0.154208035	0.17510399	0.008591364	0	0.009670527	0.074900246	0.105687416	0.011294617	0.045209227	0	0.001767682	0.00279973	0.004651228	0.007166715	0.005407025	0	0.006435403	0.002620617	0	0.000513067	0.000711105	0.001433524	0	0	0.00073305	0	0.070954551	0	0.028559437	0.034671618	0.016741088	0	0.009971134	0.009268839	0.032831335	0.003800367	0.006232284	0.024905004	0.02388766	0.000552595	0.0064359	0	0.019317719	0.015572031	0.018524335
MYOC	0	0.001051213	0.022976915	5.87E-05	0.003130124	0.00027739	0.0314763	0.00208726	0.490181627	0.020495899	0.102799846	0.529619675	0.121386828	0.359184068	0.001168201	0.002593181	0.01738559	0	0	0	0.001474984	0.000828679	0.002666789	0	0.000926343	0	0	0	0.000190255	0.000761444	0	0	0.003277849	2.49E-05	0	0.040633876	0	0	0	0	0	0	0.001331437	0	0.004887603	0.001389758	0	0	0	8.55E-06	0.002219813	0.002149861	0	0.002957714	0.00270321	6.85E-06	0	0	0.005190882	0.000256532	0.00491294
DNM1	0	0.01806542	0.000514691	0.012720861	0.009060837	0.003625035	0	0.011640374	0.149645262	0.004704336	0.089120761	0.344086809	0.073110693	0.002910927	0	0.023589263	0.063204447	0.012039881	0.006083339	0.001132438	0.015914142	0	0.040599469	0.036308167	0.01334049	0	0.003453386	0.010500463	0.004532167	0.005080316	0.045280461	0.066617013	0.00681896	0.00656484	0	0.00314929	0.000812663	0.003536709	0	0.002041944	0.008710527	0	0.0104394	0	0.010286856	0.014501384	0.016741088	0.008837335	0.107725889	0.004341522	0.005164045	0.001870838	0.010347104	0.049474675	0.025069378	0.001623697	0.0064359	0.065375461	0.016424599	0.018680584	0.033484692
XPNPEP2	0	0.001131763	0.005912198	0.004728441	0.005267654	0	0.01983899	0.000315376	0.020666134	0.007331018	0.130511195	0.159184823	0.050976987	0	0	0.000129915	0	0	0	0	0.001308559	0.000828679	0.000794694	0	0.001120733	0	0	0	0.005251506	0.001775621	0	0	0	5.65E-05	0	0	0	0	0	0	0	0	0.014216622	0.014094328	0.002800782	0.005548554	0	0	0	7.46E-05	0.001865908	0	0.000673171	0.001309678	0.001440183	0.002841436	0	0.001554159	0.003037527	0.009169238	0.002958997
COL5A1	0	0.000826197	0.012496065	0.003319211	0.017832393	0.013436198	0.068109515	0.016016974	0.661756843	0.134181537	0.588860293	0.731946486	0.645056294	0.156573013	0.074154541	0.111451515	0.323861445	0.169385278	0.039826856	0.002192508	0.02967947	0.003490047	0.01283157	2.38E-05	0.01036377	0	0.00507655	0.000219046	0.017270258	0.011042038	0.001579244	0	0.02153372	0.000740381	0	0.000803412	0	0.003179886	0.004025073	0	0.000203418	0.029450925	0.017123773	0	0.020775442	0.010213951	0	0.008837335	0.019559779	0.009156437	0.006263455	0.001985701	0.001383473	0.007256777	0.007309666	0.011376739	0.004904245	0.003906562	0.007017373	0.00447752	0.010670657
PRRX2	0	0.008558914	0.00142838	0.017520125	0.003342513	0.006559677	0	0.004297879	0.281376582	0.014545598	0.241115343	0.396061189	0.06117095	0.065146079	0.037602957	0.08549374	0.059568152	0.010624443	0.06712024	0.019960915	0.004361403	0.001128993	0.004669155	0.054853131	0.05016449	0.039614966	0.063930598	0.051111072	0.007213018	0.039416041	0.002823017	0	0.027381686	0.098671854	0.015685939	0.091264167	0.282371657	0.064815841	0.004616451	0.01162734	0	0	0.018670876	0.01406099	0.005926703	0.003356693	0	0	0	0.007540282	0.007697788	0.003484792	0.000837998	0.011218775	0.004622814	4.09E-05	0	0.000895521	0.005805273	0.00997489	0.008825495
UAP1	0.410753483	0.132702869	0.278960906	0.325684184	0.445851759	0.268867082	0.080388956	0.215825355	0.416690123	0.228519516	1.060799553	1.820144612	0.86725152	0.474888544	0.334995074	0.272794501	0.346648568	0.983085807	0.457260397	0.438495043	0.229230022	0.426415226	0.446281819	0.589994541	0.444617876	0.401720898	0.273420867	0.558882134	0.326486705	0.458721729	0.428060387	0.456076083	0.407809385	0.734299057	0.165833123	0.662305296	0.447213117	0.40292788	0.64881253	0.34680246	0.409999533	0.134772383	0.480902571	0.17624912	0.284671614	0.385902209	0.331162528	0.131833458	0.29732761	0.132248108	0.285031203	0.490534297	0.218803149	0.24395159	0.277332751	0.36702457	0.15037206	0.104449263	0.193987108	0.145872539	0.220845576
