barcode	ann_finest_level	Population
mc1-Lafyatis_Rojas_2019_10Xv1	Monocyte-derived Mph	Monocyte-derived Mph
mc10-Lafyatis_Rojas_2019_10Xv1	Monocyte-derived Mph	Monocyte-derived Mph
mc11-Lafyatis_Rojas_2019_10Xv1	Alveolar macrophages	Alveolar macrophages
mc12-Lafyatis_Rojas_2019_10Xv1	Monocyte-derived Mph	Monocyte-derived Mph
mc13-Lafyatis_Rojas_2019_10Xv1	Monocyte-derived Mph	Monocyte-derived Mph
mc14-Lafyatis_Rojas_2019_10Xv1	Alveolar macrophages	Alveolar macrophages
mc15-Lafyatis_Rojas_2019_10Xv1	Monocyte-derived Mph	Monocyte-derived Mph
mc16-Lafyatis_Rojas_2019_10Xv1	Monocyte-derived Mph	Monocyte-derived Mph
mc17-Lafyatis_Rojas_2019_10Xv1	Monocyte-derived Mph	Monocyte-derived Mph
mc18-Lafyatis_Rojas_2019_10Xv1	Monocyte-derived Mph	Monocyte-derived Mph
mc19-Lafyatis_Rojas_2019_10Xv1	Alveolar macrophages	Alveolar macrophages
mc2-Lafyatis_Rojas_2019_10Xv1	Monocyte-derived Mph	Monocyte-derived Mph
mc20-Lafyatis_Rojas_2019_10Xv1	Monocyte-derived Mph	Monocyte-derived Mph
mc21-Lafyatis_Rojas_2019_10Xv1	Alveolar macrophages	Alveolar macrophages
mc22-Lafyatis_Rojas_2019_10Xv1	NK cells	NK cells
mc23-Lafyatis_Rojas_2019_10Xv1	Alveolar Mph CCL3+	Alveolar Mph CCL3+
mc24-Lafyatis_Rojas_2019_10Xv1	Alveolar macrophages	Alveolar macrophages
mc25-Lafyatis_Rojas_2019_10Xv1	Alveolar Mph CCL3+	Alveolar Mph CCL3+
mc26-Lafyatis_Rojas_2019_10Xv1	Alveolar Mph CCL3+	Alveolar Mph CCL3+
mc27-Lafyatis_Rojas_2019_10Xv1	Alveolar Mph CCL3+	Alveolar Mph CCL3+
mc28-Lafyatis_Rojas_2019_10Xv1	AT2	AT2
mc29-Lafyatis_Rojas_2019_10Xv1	AT2	AT2
mc3-Lafyatis_Rojas_2019_10Xv1	Monocyte-derived Mph	Monocyte-derived Mph
mc30-Lafyatis_Rojas_2019_10Xv1	Lymphatic EC mature	Lymphatic EC mature
mc31-Lafyatis_Rojas_2019_10Xv1	B cells	B cells
mc32-Lafyatis_Rojas_2019_10Xv1	NK cells	NK cells
mc33-Lafyatis_Rojas_2019_10Xv1	CD8 T cells	CD8 T cells
mc34-Lafyatis_Rojas_2019_10Xv1	CD4 T cells	CD4 T cells
mc35-Lafyatis_Rojas_2019_10Xv1	CD8 T cells	CD8 T cells
mc36-Lafyatis_Rojas_2019_10Xv1	CD4 T cells	CD4 T cells
mc37-Lafyatis_Rojas_2019_10Xv1	DC2	DC2
mc38-Lafyatis_Rojas_2019_10Xv1	Mast cells	Mast cells
mc39-Lafyatis_Rojas_2019_10Xv1	CD8 T cells	CD8 T cells
mc4-Lafyatis_Rojas_2019_10Xv1	Alveolar macrophages	Alveolar macrophages
mc40-Lafyatis_Rojas_2019_10Xv1	CD8 T cells	CD8 T cells
mc41-Lafyatis_Rojas_2019_10Xv1	CD8 T cells	CD8 T cells
mc42-Lafyatis_Rojas_2019_10Xv1	CD8 T cells	CD8 T cells
mc43-Lafyatis_Rojas_2019_10Xv1	CD4 T cells	CD4 T cells
mc44-Lafyatis_Rojas_2019_10Xv1	Suprabasal	Suprabasal
mc45-Lafyatis_Rojas_2019_10Xv1	B cells	B cells
mc46-Lafyatis_Rojas_2019_10Xv1	AT2	AT2
mc47-Lafyatis_Rojas_2019_10Xv1	AT2	AT2
mc48-Lafyatis_Rojas_2019_10Xv1	CD4 T cells	CD4 T cells
mc49-Lafyatis_Rojas_2019_10Xv1	CD4 T cells	CD4 T cells
mc5-Lafyatis_Rojas_2019_10Xv1	Monocyte-derived Mph	Monocyte-derived Mph
mc50-Lafyatis_Rojas_2019_10Xv1	CD4 T cells	CD4 T cells
mc51-Lafyatis_Rojas_2019_10Xv1	Smooth muscle	Smooth muscle
mc52-Lafyatis_Rojas_2019_10Xv1	Classical monocytes	Classical monocytes
mc53-Lafyatis_Rojas_2019_10Xv1	Classical monocytes	Classical monocytes
mc54-Lafyatis_Rojas_2019_10Xv1	B cells	B cells
mc55-Lafyatis_Rojas_2019_10Xv1	EC general capillary	EC general capillary
mc56-Lafyatis_Rojas_2019_10Xv1	pre-TB secretory	pre-TB secretory
mc57-Lafyatis_Rojas_2019_10Xv1	Classical monocytes	Classical monocytes
mc58-Lafyatis_Rojas_2019_10Xv1	Classical monocytes	Classical monocytes
mc59-Lafyatis_Rojas_2019_10Xv1	NK cells	NK cells
mc6-Lafyatis_Rojas_2019_10Xv1	Alveolar macrophages	Alveolar macrophages
mc60-Lafyatis_Rojas_2019_10Xv1	NK cells	NK cells
mc61-Lafyatis_Rojas_2019_10Xv1	Suprabasal	Suprabasal
mc62-Lafyatis_Rojas_2019_10Xv1	Classical monocytes	Classical monocytes
mc63-Lafyatis_Rojas_2019_10Xv1	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc64-Lafyatis_Rojas_2019_10Xv1	DC2	DC2
mc65-Lafyatis_Rojas_2019_10Xv1	AT1	AT1
mc66-Lafyatis_Rojas_2019_10Xv1	EC venous pulmonary	EC venous pulmonary
mc67-Lafyatis_Rojas_2019_10Xv1	pre-TB secretory	pre-TB secretory
mc68-Lafyatis_Rojas_2019_10Xv1	EC arterial	EC arterial
mc69-Lafyatis_Rojas_2019_10Xv1	Lymphatic EC mature	Lymphatic EC mature
mc7-Lafyatis_Rojas_2019_10Xv1	Alveolar macrophages	Alveolar macrophages
mc70-Lafyatis_Rojas_2019_10Xv1	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc71-Lafyatis_Rojas_2019_10Xv1	Adventitial fibroblasts	Adventitial fibroblasts
mc72-Lafyatis_Rojas_2019_10Xv1	Adventitial fibroblasts	Adventitial fibroblasts
mc73-Lafyatis_Rojas_2019_10Xv1	EC venous pulmonary	EC venous pulmonary
mc74-Lafyatis_Rojas_2019_10Xv1	Mast cells	Mast cells
mc75-Lafyatis_Rojas_2019_10Xv1	pre-TB secretory	pre-TB secretory
mc76-Lafyatis_Rojas_2019_10Xv1	Alveolar fibroblasts	Alveolar fibroblasts
mc77-Lafyatis_Rojas_2019_10Xv1	Smooth muscle	Smooth muscle
mc78-Lafyatis_Rojas_2019_10Xv1	EC general capillary	EC general capillary
mc79-Lafyatis_Rojas_2019_10Xv1	EC general capillary	EC general capillary
mc8-Lafyatis_Rojas_2019_10Xv1	Alveolar macrophages	Alveolar macrophages
mc80-Lafyatis_Rojas_2019_10Xv1	EC arterial	EC arterial
mc81-Lafyatis_Rojas_2019_10Xv1	EC arterial	EC arterial
mc82-Lafyatis_Rojas_2019_10Xv1	Smooth muscle	Smooth muscle
mc83-Lafyatis_Rojas_2019_10Xv1	AT2	AT2
mc84-Lafyatis_Rojas_2019_10Xv1	Hematopoietic stem cells	Hematopoietic stem cells
mc85-Lafyatis_Rojas_2019_10Xv1	DC2	DC2
mc86-Lafyatis_Rojas_2019_10Xv1	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc87-Lafyatis_Rojas_2019_10Xv1	EC venous pulmonary	EC venous pulmonary
mc88-Lafyatis_Rojas_2019_10Xv1	AT1	AT1
mc89-Lafyatis_Rojas_2019_10Xv1	Lymphatic EC mature	Lymphatic EC mature
mc9-Lafyatis_Rojas_2019_10Xv1	Monocyte-derived Mph	Monocyte-derived Mph
mc1-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc10-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc100-Meyer_2021_3prime	Unknown	Unknown
mc101-Meyer_2021_3prime	Alveolar macrophages	Alveolar macrophages
mc102-Meyer_2021_3prime	Monocyte-derived Mph	Monocyte-derived Mph
mc103-Meyer_2021_3prime	Unknown	Unknown
mc104-Meyer_2021_3prime	Unknown	Unknown
mc105-Meyer_2021_3prime	Alveolar macrophages	Alveolar macrophages
mc106-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc107-Meyer_2021_3prime	CD4 T cells	CD4 T cells
mc108-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc109-Meyer_2021_3prime	CD4 T cells	CD4 T cells
mc11-Meyer_2021_3prime	Pericytes	Pericytes
mc110-Meyer_2021_3prime	CD4 T cells	CD4 T cells
mc111-Meyer_2021_3prime	Unknown	Unknown
mc112-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc113-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc114-Meyer_2021_3prime	CD4 T cells	CD4 T cells
mc115-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc116-Meyer_2021_3prime	Unknown	Unknown
mc117-Meyer_2021_3prime	Unknown	Unknown
mc118-Meyer_2021_3prime	Unknown	Unknown
mc119-Meyer_2021_3prime	Unknown	Unknown
mc12-Meyer_2021_3prime	Unknown	Unknown
mc120-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc121-Meyer_2021_3prime	Unknown	Unknown
mc122-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc123-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc124-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc125-Meyer_2021_3prime	Unknown	Unknown
mc126-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc127-Meyer_2021_3prime	Unknown	Unknown
mc128-Meyer_2021_3prime	Unknown	Unknown
mc129-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc13-Meyer_2021_3prime	Pericytes	Pericytes
mc130-Meyer_2021_3prime	CD4 T cells	CD4 T cells
mc131-Meyer_2021_3prime	CD4 T cells	CD4 T cells
mc132-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc133-Meyer_2021_3prime	Unknown	Unknown
mc134-Meyer_2021_3prime	CD4 T cells	CD4 T cells
mc135-Meyer_2021_3prime	Unknown	Unknown
mc136-Meyer_2021_3prime	CD4 T cells	CD4 T cells
mc137-Meyer_2021_3prime	Unknown	Unknown
mc138-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc139-Meyer_2021_3prime	CD4 T cells	CD4 T cells
mc14-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc140-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc141-Meyer_2021_3prime	CD4 T cells	CD4 T cells
mc142-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc143-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc144-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc145-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc146-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc147-Meyer_2021_3prime	CD8 T cells	CD8 T cells
mc148-Meyer_2021_3prime	Unknown	Unknown
mc149-Meyer_2021_3prime	CD4 T cells	CD4 T cells
mc15-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc150-Meyer_2021_3prime	CD4 T cells	CD4 T cells
mc151-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc152-Meyer_2021_3prime	Pericytes	Pericytes
mc153-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc154-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc155-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc156-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc157-Meyer_2021_3prime	Unknown	Unknown
mc158-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc159-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc16-Meyer_2021_3prime	Pericytes	Pericytes
mc160-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc161-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc162-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc163-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc164-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc165-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc166-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc167-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc168-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc169-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc17-Meyer_2021_3prime	Pericytes	Pericytes
mc170-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc171-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc172-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc173-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc174-Meyer_2021_3prime	Lymphatic EC mature	Lymphatic EC mature
mc175-Meyer_2021_3prime	Lymphatic EC mature	Lymphatic EC mature
mc176-Meyer_2021_3prime	Lymphatic EC mature	Lymphatic EC mature
mc177-Meyer_2021_3prime	Suprabasal	Suprabasal
mc178-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc179-Meyer_2021_3prime	EC general capillary	EC general capillary
mc18-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc180-Meyer_2021_3prime	EC general capillary	EC general capillary
mc181-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc182-Meyer_2021_3prime	EC general capillary	EC general capillary
mc183-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc184-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc185-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc186-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc187-Meyer_2021_3prime	EC general capillary	EC general capillary
mc188-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc189-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc19-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc190-Meyer_2021_3prime	EC general capillary	EC general capillary
mc191-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc192-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc193-Meyer_2021_3prime	EC general capillary	EC general capillary
mc194-Meyer_2021_3prime	Smooth muscle	Smooth muscle
mc195-Meyer_2021_3prime	Smooth muscle	Smooth muscle
mc196-Meyer_2021_3prime	Unknown	Unknown
mc197-Meyer_2021_3prime	Unknown	Unknown
mc198-Meyer_2021_3prime	Unknown	Unknown
mc199-Meyer_2021_3prime	Unknown	Unknown
mc2-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc20-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc200-Meyer_2021_3prime	Unknown	Unknown
mc201-Meyer_2021_3prime	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc202-Meyer_2021_3prime	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc203-Meyer_2021_3prime	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc204-Meyer_2021_3prime	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc205-Meyer_2021_3prime	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc206-Meyer_2021_3prime	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc207-Meyer_2021_3prime	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc208-Meyer_2021_3prime	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc209-Meyer_2021_3prime	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc21-Meyer_2021_3prime	Unknown	Unknown
mc210-Meyer_2021_3prime	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc211-Meyer_2021_3prime	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc212-Meyer_2021_3prime	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc213-Meyer_2021_3prime	Unknown	Unknown
mc214-Meyer_2021_3prime	Unknown	Unknown
mc215-Meyer_2021_3prime	Unknown	Unknown
mc216-Meyer_2021_3prime	Unknown	Unknown
mc217-Meyer_2021_3prime	Unknown	Unknown
mc218-Meyer_2021_3prime	Unknown	Unknown
mc219-Meyer_2021_3prime	Unknown	Unknown
mc22-Meyer_2021_3prime	Lymphatic EC mature	Lymphatic EC mature
mc220-Meyer_2021_3prime	Unknown	Unknown
mc221-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc222-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc223-Meyer_2021_3prime	Unknown	Unknown
mc224-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc225-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc226-Meyer_2021_3prime	Adventitial fibroblasts	Adventitial fibroblasts
mc227-Meyer_2021_3prime	Unknown	Unknown
mc228-Meyer_2021_3prime	Pericytes	Pericytes
mc229-Meyer_2021_3prime	Pericytes	Pericytes
mc23-Meyer_2021_3prime	Lymphatic EC mature	Lymphatic EC mature
mc230-Meyer_2021_3prime	Alveolar fibroblasts	Alveolar fibroblasts
mc231-Meyer_2021_3prime	Myofibroblasts	Myofibroblasts
mc232-Meyer_2021_3prime	NK cells	NK cells
mc233-Meyer_2021_3prime	NK cells	NK cells
mc234-Meyer_2021_3prime	NK cells	NK cells
mc235-Meyer_2021_3prime	NK cells	NK cells
mc236-Meyer_2021_3prime	AT2	AT2
mc237-Meyer_2021_3prime	AT2	AT2
mc238-Meyer_2021_3prime	AT2	AT2
mc239-Meyer_2021_3prime	AT2	AT2
mc24-Meyer_2021_3prime	Lymphatic EC mature	Lymphatic EC mature
mc240-Meyer_2021_3prime	Alveolar macrophages	Alveolar macrophages
mc241-Meyer_2021_3prime	AT2	AT2
mc242-Meyer_2021_3prime	AT2	AT2
mc243-Meyer_2021_3prime	AT2	AT2
mc244-Meyer_2021_3prime	AT2	AT2
mc245-Meyer_2021_3prime	AT2	AT2
mc246-Meyer_2021_3prime	AT2	AT2
mc247-Meyer_2021_3prime	AT2	AT2
mc248-Meyer_2021_3prime	AT2	AT2
mc249-Meyer_2021_3prime	AT2	AT2
mc25-Meyer_2021_3prime	Lymphatic EC mature	Lymphatic EC mature
mc250-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc251-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc252-Meyer_2021_3prime	EC general capillary	EC general capillary
mc253-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc254-Meyer_2021_3prime	EC general capillary	EC general capillary
mc255-Meyer_2021_3prime	EC general capillary	EC general capillary
mc256-Meyer_2021_3prime	EC aerocyte capillary	EC aerocyte capillary
mc257-Meyer_2021_3prime	EC general capillary	EC general capillary
mc258-Meyer_2021_3prime	EC general capillary	EC general capillary
