UID	aCap	Adventitial FB	Alveolar FB	Alveolar macrophage	Arteriole	AT1	AT2	B cells	Basal	CD4	CD8/NKT	cDC1	cDC2	Ciliated	Differentiating ciliated	gCap	Inflamed	Inflammatory monocyte	Interstitial macrophage	KRT5-/KRT17+	Lymphatic	Mast	Mesothelial	moDC	Monocyte	Monocyte-derived macrophage	MyoFB	MyoFB - Activated	NK	pDC	Pericyte	Plasma	PLIN2+ FB	PNEC	Proliferating - Epi	Proliferating - Imm	Secretory - SCGB1A1+/MUC5B+	Secretory - SCGB1A1+/SCGB3A2+	Secretory - SCGB3A2+	SMC	Systemic venous	Transitional AT2	Venule
JAM3	0.57090292	0.309972853	0.304466984	0.000230533	0.217296397	0.001707367	0.002751794	0.022243771	0.146296522	0.003352849	0.014233623	0.00453773	0.000735484	0.036423262	0.048268499	0.485928157	0.375665272	0.000724581	0.000608102	0.019110097	0.007289772	0.001026124	0.058690318	0.001021437	0.001358724	0.000539908	0.376248041	0.348492979	0.006450201	0	0.242981165	0.000960378	0.272531125	0.403651669	0.012193735	0.001560044	0.003498651	0.00394029	0.002237141	0.280970922	0.152676914	0	0.185096446
B3GALNT1	0.395786176	0.155375814	0.117927816	0.045547386	0.177928172	0.208045036	0.025516237	0.031130668	0.074432762	0.001446627	0.000578466	0.011377867	0.045402822	0.020233125	0.03204364	0.311000638	0.122525585	0.027008444	0.031513805	0.052466032	0.020948753	0.037170958	0.117027991	0.050602989	0.006383273	0.03596039	0.0716223	0.112801935	0.019995067	0.021841967	0.172291098	0.008917765	0.100255767	0.022743074	0.054020391	0.055108608	0.031141203	0.008618801	0.025979517	0.089842303	0.072279875	0.044349537	0.066359051
SASH1	1.075710347	0.388811823	0.188543802	0.180884995	0.684785977	0.200975452	0.137750791	0.017359664	0.090101971	0.006374669	0.006889504	0.00587408	0.011418646	0.123883275	0.117048095	1.003537312	1.047226967	0.235560644	0.141678893	0.118260466	0.631697655	0.041606412	0.376388381	0.095215824	0.12326731	0.161270874	0.155695715	0.174254242	0.018047714	0.011266771	0.66403856	0.005656343	0.308849457	0.010199992	0.194663123	0.077961533	0.218512905	0.123505372	0.107090317	0.244604432	0.590681862	0.132424487	0.616877608
THSD1	0.402784763	0.047979646	0.053458821	0.001359032	0.272694498	0.003607502	0.006539953	0	0.024305344	0.00728825	0.001694689	0	0.006435973	0.004732459	0.004468991	0.385853263	0.172901557	0.000864611	0.001047048	0.019251653	0.335819413	0.007839821	0.0064044	0.004419861	0.001730245	0.00228107	0	0.005185027	0.002676099	0.022214026	0.002030685	0.00301506	0.033721188	0	0.0250369	0.002428392	0.004342262	0.006766846	0.005615864	0	0.14060002	0.004548062	0.202399794
LINC01082	0.127291839	0	0.011237687	0	0.067182679	0.00050026	0.000134698	0	0	0.000900882	0	0	0	0.000675226	0	0.099718725	0	5.99E-05	0	0	0	0	0	0.000212543	0.000724568	5.06E-05	0	0	0.00025176	0	0.00083826	0	0	0	0	0	0	0	0	0	0.001629537	0	0.043663574
HTR3C	0.037443853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014300396	0	0	0	0	0.004497327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000541173	0	0.000984692
EDNRB	0.937136289	0.163231836	0.143986765	0.001629631	0.038057439	0.017083931	0.407720686	0.004218916	0.000466427	0.000429359	0.003409252	0	0.001974393	0.001031958	0.016214742	0.15796462	0.509821461	0.064177637	0.018252972	0.005746817	0.790879726	0.060617617	0.007174559	0.028392843	0.067210604	0.025625138	0.14422542	0.035662073	0.000794248	0.02205427	0.809926605	0.003148704	0.10864445	0	0.143232492	0.013742633	0.00639037	0.023886133	0.020266342	0.83488619	0.109983255	0.051297403	0.045235168
SEMA6A	0.741505817	0.083857292	0.132179053	0.000174966	0.152514321	0.003883153	0.002141345	0.000654486	0.023092928	0.000763428	0.001595846	0.010794946	0.001244408	0.000716197	0	0.748641158	0.556729732	0.001730044	0.000128566	0.002405259	0.751988391	0.012666347	0.139944562	0.002390775	0.006553189	0.001038973	0.027889886	0.040599761	0.005158436	0	0.044057369	0	0.217075972	0	0.001417423	0.001741943	0.002979756	0.00477033	0.003058024	0.042404872	0.381820101	0	0.438681865
SLC14A1	0.215862694	0	0	0	0.107802616	0.001131892	0	0.027023066	0.000692781	0.019899952	0.062988484	0.01592861	0.002174112	0.000100404	0	0.180220982	0	0.000475218	0.000550533	0	0	0.007209024	0	0	0.000216048	0.000128141	0.064890287	0	0.095402321	0.017650654	0.011007329	0.003178908	0	0	0	0.010219828	9.27E-05	0	0	0.002028414	0.002057432	0	0.033475229
TMEM204	1.012142047	0.289337967	0.407010804	0.000339989	0.562979969	0	0.001509415	0.008327011	0.00270832	0.123347558	0.175549857	0.006926595	0.025395123	0.003293817	0	0.882368299	0.412506893	0.0074337	0.004750915	0.003375743	0.553140125	0.00301782	0.000235233	0.014141845	0.00293546	0.005242611	0.441521869	0.38941177	0.104240892	0.001902321	0.631826528	0.005586603	0.0832698	0	0.008010215	0.035359989	0.001036099	0.000261995	0.000751157	0.185456475	0.509790377	0.001087093	0.61338796
