	ML-CC	ML-2	ML-MDP	MEP	BMCP	Baso-spleen	MP	Mac-spleen	D3-LM	pDC	plasmaDC	DC-spleen-Bex6	DC-spleen-APC	DC-spleen-Fscn1	Mono-spleen-Ace	Mono-spleen-Fn1	proB-spleen-Vpreb	proB-spleen-Foxp1	B-spleen-Plac8	Plasmablast-spleen	B-spleen-Kiff11	B-spleen-Cr2	EILP	CHILP	ILC1_3+NKP	pre-aceNKP	aceNKP	alpha-beta T	CD4+ T cell	CD8+ T cell	Treg-Tnfrsf4	Treg-Rora	cDC	ML-1	ALP	cDC2	CLP	preNeu	B	MDP	MPP3	immNeu	early-ERP	ERP	HSC-Mac	pre-proB	proNeu	ILCP	MPP2	ILC	MkP	pre-B	MPP1	MPP4	IG2	MPP5	Mast
Ube2c	5.731	3.621	5.321	0	0	0	3.97	0	0.6381	2.435	3.097	0.3387	0.6741	2.041	0	2.207	3	0	3.072	3.642	4.936	0	2.089	0.7191	1.561	5.399	0	0	0.6692	0	2.487	2.539	3.896	2.667	5.083	4.878	0.4597	5.252	2.855	2.537	0.3516	2.112	4.323	5.469	0	5.922	4.265	0	5.101	0	5.126	5.523	0.8939	0	3.358	0	0
Cdc20	4.935	3.38	4.447	0	0	0	3.369	0	0.05638	2.123	2.746	0.1533	0.3668	0.5805	0	1.034	3.669	0.6471	2.854	3.297	4.467	0	2.455	0.6174	0.9259	4.483	0	0.6163	0	0.7942	1.907	2.278	2.907	3.054	4.234	3.8	1.308	4.183	1.939	3.675	0.9445	2.009	3.907	4.431	0	5.103	3.496	0	4.358	0	3.178	3.562	1.611	0	3.258	0.3642	0
Ccnb1	4.688	3.186	4.356	0	0	0	3.154	0	0.03987	1.208	2.294	0.08902	0.1154	0.8293	0	0.8809	0	0.4636	1.231	3.349	4.322	0	1.742	0.08212	1.036	4.136	0	0.4139	1.392	0	1.51	1.354	2.796	2.471	3.914	3.872	0.6537	3.902	0	3.087	0.4584	1.559	3.941	4.869	0	4.96	3.396	0	3.931	0	4.597	2.825	0.9378	0	3.32	0.1318	0
Cenpf	5.35	3.655	4.864	0	0	0	3.954	0	0.2173	2.212	2.789	0.3322	0.3044	1.873	0	1.436	3.646	0	3.525	3.155	4.955	0	2.277	0.8515	1.522	5.157	0	0.6163	0	0	2.729	2.678	3.754	2.774	4.796	4.557	1.4	4.982	3.02	3.097	1.095	2.117	4.468	5.028	0	5.681	4.022	0.1297	4.985	0	4.597	5.19	2.5	0	3.421	0.9097	3.027
Tubb4b	6.008	5.652	5.71	5.862	4.478	0	5.136	1.96	0.3086	3.849	3.95	0.4253	0.6667	1.767	0	1.699	4.759	3.634	3.963	4.835	5.469	4.095	4.86	2.621	3.268	5.828	2.938	2.912	2.981	3.307	3.697	3.685	4.092	5.299	5.822	5.338	4.051	5.19	4.293	5.173	4.347	3.222	5.955	6.192	2.997	5.977	4.905	3.147	5.916	2.132	5.758	5.466	5.44	2.763	5.462	4.016	4.487
Plk1	4.389	3.177	4.001	0	0	0	3.166	0	0.04916	1.751	1.452	0.1345	0.09464	1.098	0	0.6914	2.044	0	0	2.928	4.159	0	1.059	0	0.8036	4.132	0	0	0.5759	0	2.091	1.432	2.698	1.707	4.035	4.083	0.1918	4.16	2.508	2.23	0.1241	0.6017	3.469	4.418	0	4.326	3.419	0	3.814	0	4.328	4.445	1.006	0	2.846	0.168	0
Cdca8	5.291	4.74	4.982	2.384	0	0	4.253	0	0.167	3.159	2.079	0.424	0.4655	1.677	0	1.328	3.701	1.279	2.351	3.549	5.074	0	2.885	0.3759	0.4488	5.2	0	0.6163	0	0.5782	1.77	2.596	3.792	3.882	5.133	4.958	1.321	5.035	2.781	4.215	0.8353	2.027	4.796	5.416	0	5.414	4.394	0	5.136	0	4.875	5.466	4.103	0	4.487	0.1269	0
Sapcd2	3.558	2.417	3.046	0	0	0	1.802	0	0.01158	0.5603	1.014	0.0433	0.03189	0	0	0.1496	1.38	0	0	2.038	2.419	0	0.8815	0.062	0.8434	2.86	0	0	0	0	0	0.8262	1.643	1.583	2.985	2.412	0.2153	1.992	1.023	1.92	0.2352	0	2.064	1.521	0	3.433	2.081	0	2.959	0	2.418	0	0.9094	0	2.574	0	0
Cdk1	4.979	4.538	4.652	2.749	0	0	4.161	0	0.1131	3.567	2.484	0.2986	0.2742	0.8901	0	0.9491	0	0	0	3.819	4.617	0	2.688	0.1261	0.9303	4.914	0	0	0	0	1.907	1.699	3.486	3.79	4.767	4.77	1.596	4.631	0	3.406	1.148	1.197	4.427	5.044	0	4.955	4.029	0	4.762	0	5.466	5.135	4.163	0	4.396	0	0
Hmmr	4.634	3.513	4.41	0	0	0	3.737	0	0.04968	2.184	2.34	0.178	0.2112	0.8328	0	0.9908	3.191	0	1.198	3.016	4.642	0	1.358	0.062	1.006	4.643	0	0	0	0	1.735	2.919	3.109	2.144	4.356	4.425	0.4315	4.583	1.807	2.94	0.2027	1.812	4.196	5.08	0	4.938	3.708	0	4.246	0	5.126	4.729	1.494	0	3.472	0	0
Cks2	5.59	5.2	5.444	5.551	4.025	0	4.845	0	1.932	4.066	2.691	0.8893	0.61	1.076	3.562	2.796	3.933	1.047	1.457	4.369	4.915	0	4.745	2.722	3.024	5.568	1.176	2.414	1.337	2.345	2.945	3.835	3.869	4.81	5.397	5.242	4.314	5.493	2.23	5.243	4.257	4.042	5.527	5.617	2.997	5.547	5.439	3.529	5.423	2.906	5.673	5.327	4.345	2.971	5.272	4	5.277
Kpna2	4.203	3.131	4.072	3.125	0	0	3.191	0	0.8062	1.8	1.798	0.6876	0.9351	1.441	1.77	1.699	0.7663	1.038	1.231	3.26	4.116	0	1.841	0.3319	1.219	3.645	0.7378	1.807	0.5932	1.237	1.276	2.402	2.525	2.33	3.738	3.919	1.305	3.431	2.208	2.251	0.9579	1.23	3.674	3.839	0	4.132	3.164	0	3.474	0	4.794	3.562	1.458	1.464	3.232	0.8475	0
