uid	qHSC	aHSC	HSC-Ly	MPP5-IER	MPP5 Ly-I	MPP1-MKP	MPP1-G1	MPP2-G2	MPP2-M	MPP2-S	MPP3-IER	MPP3-S	MPP4-TCA	MPP4 Ly-I-a	MPP4 Ly-I-b	HSC-Mac-1	HSC-Mac-2	Mac-Nr1h3	ML-1a	ML-1b	ML-CC	ML-2	ML-MDP	ML-3	MEP	MkP-HSC	MkP-Kit	ErP-HSC	ErP-MEP	ErP-1	ErP-2	ErP-3	ErP-4	ErP-5	BMCP-G2	BMCP	pro-Mast	pre-Baso	Baso-Mature	MP	IG2-MP	IG2-proNeu1	EoP	proNeu-1a	proNeu-1b	proNeu-2	preNeu-1	preNeu-2	preNeu-3a	preNeu-3b	preNeu-3c	immNeu-1	immNeu-2	immNeu-3	MDP-1	MDP-2	cMoP-a	cMoP-b	D3-LM	pre-cDC1a	pre-cDC1b	pDC-CC	pDC	pre-cDC2	plasmaDC	CLP1-a	CLP1-b	CLP1-c	CLP2-Ly6d+	ALP-a	ALP-b	proB-cycling	preproB-1	pre-proB-2	preBcrII-G2M	preBcrII-S	preB-kappa	immB	matB	EILP	CHILP	ILCP-a	ILCP-b	ILC2	ILC1_3+NKP	pre-aceNKP	aceNKP
Cpne8	0.529876063	0.1120045	0.070508795	0	0.022816058	0	0	0	0	0.018767046	0	0	0.02361295	0.021424274	0	0.103869668	0.083891458	0.049959912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014852531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043308783	0	0.01619112	0	0	0	0.010354455	0	0	0	0.018383405	0	0	0	0	0	0	0	0	0	0	0	0.057848584	0	0	0	0	0	0
Meg3	0.555000665	0.05160893	0.01721518	0	0.045664449	0	0.047868802	0	0	0	0	0	0.013828766	0	0	0.162018418	0.099869472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015473556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065863899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smtnl1	0.212993415	0.031261631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn1c	0.812145222	0.331325998	0.206011091	0.170282098	0.11991623	0.057509019	0.105889409	0.15128871	0.079226206	0.185028743	0.023904725	0.04702671	0.090916297	0.02916208	0.075966444	0.176699021	0.181738053	0.029647092	0.01834593	0	0.055427922	0.011903331	0.012972953	0	0.017122596	0.055296757	0.015042537	0.007313486	0	0	0	0	0	0	0.016370336	0	0.052391875	0	0	0.005797954	0	0	0	0.006688588	0	0	0	0.038589979	0	0	0	0.020498808	0	0	0	0	0	0	0.183966801	0	0.015288866	0.010173151	0	0	0.033775638	0	0	0.043909343	0.028714222	0	0.038008085	0.036430542	0	0	0.108468292	0.059450873	0.051941111	0	0	0.137171724	0	0.069760015	0.030589348	0	0	0.034492074	0
Trim47	0.805477958	0.356789012	0.234157942	0.232233779	0.163865605	0.305449918	0.215521114	0.278572749	0.127900969	0.149238884	0.080187396	0.064598265	0.132596344	0.052169588	0.084322093	0.286128121	0.405328912	0.090938192	0.05628752	0.07446737	0.011666641	0.034532865	0.013827415	0.049167279	0.163824028	0.139644567	0.231472403	0.075594965	0	0.076532824	0.072297379	0.040645789	0	0.02384812	0.03952154	0.015595211	0.021161258	0	0	0	0	0.004140234	0	0	0	0	0	0.017160348	0	0	0.006538636	0	0	0	0	0	0	0	0.043308783	0	0	0.027792318	0	0	0.082799001	0.021999511	0.058321073	0	0	0	0	0	0	0	0	0	0	0	0	0.016415298	0	0	0	0	0	0	0
Obscn	0.278454348	0.045149019	0.017348478	0.019187472	0	0.026676405	0.012280667	0.038868341	0	0.021231424	0.025326513	0	0	0.036372811	0	0.009758256	0	0	0	0	0	0	0	0	0	0.08660888	0.057727471	0	0.028691201	0	0	0	0	0	0	0.009686822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02371143	0.066603028	0	0	0	0
Tns2	0.285960386	0.023166511	0.044802756	0.009514035	0.09418081	0.010592175	0.061461491	0	0.014798803	0	0	0	0	0.025352605	0	0.012919202	0.073456573	0.014454949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004030289	0	0	0	0	0	0.00908843	0	0	0	0	0	0	0	0	0	0	0	0	0.09208617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kazald1	0.293328332	0.096236083	0.067283316	0.038256162	0.02592654	0.01733237	0.016056119	0.008485623	0.036289975	0	0.024169841	0	0.023458776	0	0.044079039	0.02377135	0.055735037	0	0.015910799	0	0	0	0	0	0.017815779	0.012302994	0	0	0	0	0	0.004987017	0	0	0	0	0	0	0	0.006541911	0	0	0	0.005307068	0.008504012	0.007371533	0	0	0	0	0	0	0	0	0	0	0	0	0.031210948	0	0	0	0	0	0.026374493	0	0	0.029393535	0	0	0	0	0.014388712	0	0	0	0	0	0	0	0.043338554	0	0	0	0	0	0
Nbea	0.393133621	0.153926432	0.134905943	0.011767457	0.132106366	0.019662656	0.03651287	0.094105384	0.024690376	0.023144199	0.033250255	0.008869873	0.078603336	0.023446694	0	0.106534117	0.132829345	0	0	0.025267423	0	0	0	0	0	0	0.028709084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02384618	0.006897073	0	0	0	0	0	0	0	0	0	0.033037446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012433808	0	0	0.039396109	0.049577187	0.022410492	0	0
2410017I17Rik	0.076721419	0	0	0	0.016554648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ecscr	0.321624365	0.118998989	0.097316862	0.052026181	0.095654902	0	0.084964802	0.029542995	0	0.041038164	0.080958873	0.053722308	0.068338874	0.02660908	0	0.069038924	0.081464243	0	0.074178661	0.018241598	0	0	0.008711457	0	0	0.019402428	0	0.017074607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00876962	0	0	0	0	0	0	0	0	0	0	0.006516242	0	0	0	0	0	0.014819568	0	0.008316168	0	0	0	0.03893934	0	0	0	0	0.014213643	0	0	0	0	0	0.015196564	0	0	0	0	0
Fhl1	0.300294084	0.112023848	0.024758299	0.029724494	0	0.107846193	0.122769802	0.036588059	0.008366309	0.041631631	0.016417217	0	0.008583263	0	0	0.041481563	0.104775803	0	0	0	0	0	0	0.01564199	0	0.123807188	0.25513714	0	0	0	0	0	0	0	0.010886486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019863913	0	0	0	0	0	0	0	0	0.028297745	0	0	0	0	0	0	0	0	0	0	0	0
Hoxb5	0.211857254	0.059155235	0	0.046229719	0.043589119	0.016565393	0	0.07100174	0.033514155	0.009490668	0	0	0.008583263	0	0	0.015954111	0.042561815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038618073	0	0	0	0	0	0	0	0	0
