UID	AF1	AF2	PMP	SCMF	VSMC	ASMC	Pericyte	VEC	LEC	AEC	CAP1	EPC	CAP2	Chondrocyte	Mesothelial	AT1	AT1/AT2	AT2	Sox9_Epi	Secretory	Basal	Ciliated	Deuterosomal	PNEC	CD4_T	CD8_T	Treg	ILC	NK	B	cDC1	cDC2	maDC	Neutrophil	Basophil	Mast	iMON	AM	IM	Megakaryocyte/Platelet
Snai2	1.375079038	0.431206573	0.974952496	0.616892491	0.237542486	0.158406207	0.635097217	0.121716926	0.079782942	0.078555282	0.059592321	0.266159835	0.074989951	1.043518617	0.077213291	0.012834513	0.053642818	0.007020499	0.008078842	0.003841697	0.149936012	0	0.008291359	0	0.004166331	0	0.066913685	0.016582343	0.02194372	0.014511151	0.071923918	0.016883648	0	0.015171911	0.010571796	0	0.033507421	0.01011418	0.023084243	0.022818126
Limch1	3.758998748	1.025306042	1.569787901	0.309314384	1.199564164	0.140487786	0.084485144	0.865263483	0.703862253	0.620880406	0.5310721	0.329865408	0.169942054	0.531270398	0.617179898	2.637516725	1.935484006	0.515970197	0.409792343	0.403901259	0	0.616271578	0.524915934	1.154904284	0.04706772	0.044101136	0.03985159	0.011868575	0.066017506	0.039193287	0.070402976	0.065089723	0.116198922	0.10646563	0.120567386	0.028813712	0.062717967	0.045276607	0.053662485	0.015517204
D630029K05Rik	0.037129608	0	0.004554152	0	0	0	0	0.000835079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006162247	0	0	0	0	0
Frrs1l	0.08599955	0	0.005196696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000461356	0	0	0	0	0.004140888	0	0	0	0	0	0	0	0	0	0	0.007552096	0	0	0	0	0	0
Nebl	1.112554791	0.131646787	0.088909565	0.039918837	0.028350622	0.274901242	0.133803993	0.008524042	0.008075027	0.093437149	0.00778202	0.012830152	0.018039934	0	0.030762268	0.351954659	0.407583521	0.125496355	0	0.423190575	0.272623801	0.246901056	0.319284728	0.355315811	0.023753772	0.069785785	0.025594649	0.063770179	0.027513675	0.025324984	0.012579948	0.005142064	0	0	0.032428957	0	0.007024825	0.01352822	0.012289196	0
Adarb1	0.887315991	0.111633805	0.519056936	0.169075048	0.427327349	0.298874756	0.044121334	0.071379379	0.205253463	0.072346735	0.006309548	0.016969692	0.032467451	0	0.019387816	0.003841207	0.002401512	0.011185214	0.023481754	0.050848172	0.298567659	0.025786469	0.003234876	0	0.004190233	0.007816736	0.00322803	0.00349091	0.002952319	0.010528766	0.11785128	0	0.06639488	0.003100729	0.01768615	0	0.015254993	0.107515027	0.013292984	0.064411608
Cdh11	2.696116229	2.054286087	1.069319484	0.982511138	0.321119357	0.181311407	0.15655802	0.025627393	0.134786267	0.286958819	0.027796632	0.033825973	0.039962066	1.128760948	1.462561671	0.03835819	0	0.015493945	0.021075215	0.035085734	0	0.064884878	0.015431861	0.019993216	0.02970547	0.0272565	0.012970009	0.008858244	0.029149515	0.032204989	0.007177022	0	0	0.089343531	0.074619636	0	0.029609012	0.054632906	0.033847014	0.076214121
Atp1a2	1.441554531	1.125911362	0.005443523	0.229501552	0.756841928	0.378439712	0.19618849	0.006761924	0.027800455	0.003026551	0.01439774	0.003194134	0.009531747	0.170363779	0.037909442	0.019205414	0.003503737	0.017084283	0.031788582	0.009416069	0	0.01469261	0	0	0	0.005838232	0	0.003991203	0.032322272	0.028413317	0.012579948	0	0	0.088053259	0	0	0.008995223	0.018072593	0.025727571	0
Nol3	0.211686405	0.061655515	0.07353365	0.015955238	0.005868841	0.003749917	0.018493078	0.002081765	0	0.004618452	0.003391325	0.004712313	0.003666943	0	0.014033582	0	0.001623188	0.004613998	0	0.007207475	0	0.007770132	0.001842031	0.039058134	0	0	0	0	0	0.007255791	0	0	0	0	0	0	0.00106865	0	0	0
Phex	0.604927432	0.090012883	0.023969419	0.000497903	0.003002723	0	0.003020548	0	0.004740519	0	0.0040818	0.010749173	0	0	0	0.005115625	0.002432181	0.001172125	0	0.001665135	0	0.005806761	0.005216245	0	0.008132063	0	0	0.01049578	0	0.005082495	0.166758632	0.007578388	0	0.004411207	0.004097425	0	0.003845247	0.010327566	0.006802385	0
