	AF1	AF2	AT1	AT1_AT2	AT2	Adventitial_fibroblast	Alveolar_transitional	Arterial_endothelium	B_lymphocyte	CAP1	CAP2	Ciliated	Krt5	Lymphatic_endothelium	Mesothelium	NK_cell	Neutrophil	Peribronchial_fibroblast	Plasma_cell	Secretory	T_lymphocyte	VSMC	Venous_endothelium	aMAC	cDC1	cDC2	cMON	iMAC	iMON	maDC	pMON
Npnt	7.381768021350345	6.175447869481179	6.667954710763673	5.7074338092358365	4.783676415645142	5.092345128364274	5.08082916221377	2.0333208329941366	2.3438397078807385	1.931557874523873	2.084295132013208	3.0612867542795397	3.6824606690458763	4.570266357311292	5.695857371130045	2.0509239582961487	1.8749443442923854	4.449939337675485	2.396942883704134	3.3733607256086016	2.818890783856967	6.092270995167406	2.2525944462165213	1.7254643621026946	2.3818065387865666	1.787522203566481	1.49158663251888	2.101220783638504	1.457247266484408	3.200800886007554	2.0424818081256144
Inmt	7.750296722747749	3.624086566769776	2.857035858336281	4.394763737090416	2.8187237626203046	7.202063189157438	1.199356980382081	2.2201392572690777	2.81378490076704	2.7034383579380776	3.020507971696195	2.4339384865061717	2.331928327679208	3.1317806441925495	2.8434380019588748	2.926218289659273	2.991977089577824	3.661109732695394	3.2628186323996267	2.6285085899982312	3.4117289982176353	3.098523433325441	2.244857821799638	2.1103711834753756	3.111735938024541	2.1974659779908934	2.0183751994340655	3.257868932331876	2.0747990807947483	3.207222981715298	2.4161114354674376
Limch1	7.569398923739272	4.19171039044424	7.248798591030572	6.1492052846585885	4.394573058658728	6.157363470260821	3.743903543607112	4.592513013357054	2.603389713568889	4.078460042238966	2.6412341669476533	3.87109309656238	1.8367647383157475	5.0314570122550295	5.147916465581488	2.9521512727255486	2.4540039333731802	4.360020383210855	3.105021007589603	3.325776319014025	3.0280104620813564	6.382606439703785	4.719799888564769	2.008026802010147	2.8320012570861506	2.130201034251399	1.9453369741247406	2.8421735857685264	2.0335325732600023	3.0510425308093785	2.3473378721126137
Pdgfra	6.96679401890607	2.1016631512583195	1.3987032103834147	3.307284731037557	1.793472529597416	6.424718909264174	0.770433148009517	0.8913147349096383	1.5503195273284218	1.2089806836798878	1.3607398350462425	1.5283600778239756	1.1439783189579398	1.8273470164467687	2.5498026674062393	1.1665200201258983	1.2799509260614015	4.661377984920394	1.4486638672034575	1.92699333998004	1.935764552127006	2.3275078156094136	1.0585562428092437	1.3151675908002496	1.8235143112826975	1.2524207442088562	1.0800990720817476	1.3320955141368802	1.5136165750452741	1.4033393285429105	1.1366528734877084
Spon1	6.836648949077376	2.5107656898695314	1.3253361207691745	3.0096633650920004	1.7188178546314379	5.892253561374343	0.8195190151605153	4.330749354200252	1.5820003559324016	1.8475785827379152	1.2184789229083033	1.6461077109612972	1.525229986362672	1.7283737415741047	3.726761568992618	2.0521014034079497	1.6107916167036775	4.327459042672398	2.007562255544394	1.7500501787352734	2.228859136702739	4.691678334123197	3.6410700283918063	1.148455253714763	2.248148117537826	2.6307697348780614	2.535844751338496	2.1066976019927006	4.4724640769755215	3.0462936838665122	1.438326999412832
Itga8	6.789549825053743	4.372922198591525	1.3508984228856789	2.7324221545694205	1.6001715757118138	5.066034967918159	0.29163189584554416	0.7225833296664728	1.3258027815547906	1.0357320678654487	1.136908848260863	1.55154927535971	0.9773732717510204	1.4966611909898515	1.8250835475947846	1.3476870291164627	1.4571073979263274	4.064625010515289	1.649286880113506	1.5737069998817008	1.9308298876616616	6.892758810549688	1.138405499003252	1.1681180573703844	2.4724581637816683	1.2201813072143648	1.4027322033470966	1.9267291863478313	0.928543167412917	1.9034588086556303	1.4596306474217082
Gpx3	7.4763313690039945	7.008603546605444	2.7932265062695256	4.342316256078591	2.7324966286779984	6.61348308940486	1.7257270305604988	2.4743070716619755	2.682682840558423	3.1009171328392315	4.888454769605505	2.8730957757284945	2.913438759456541	4.4962924178047325	4.350998646961228	2.904039024111427	2.7750919932956712	6.9418906473736355	3.1574544534223232	3.950699446014357	3.2454490847450206	5.768998037906103	2.421351873493099	2.100543220141178	2.7964076653945176	1.6964972386493988	2.615889829061204	3.8691547942657993	3.0695660300983576	2.6253770185853695	2.677021431416675
Plxdc2	7.103142715457095	4.7922819383474495	1.6455062915532213	3.1835376062097387	1.9737550548352834	6.728892154470748	1.5563188619943293	1.546104371992124	1.5627843230811678	1.27907126261345	1.4477423019768816	2.43820920555334	5.233347126778943	2.6465859305792407	6.347662829151534	1.6563013102568502	1.5467812290229248	5.302367071599497	1.9648856734056002	3.409496569435073	2.3685421847096353	5.709857522771014	1.5114468796619211	2.9045299997818774	3.305615885612601	3.896893933991133	1.4690325675234093	4.392641035287191	2.8370189233287815	3.0438973374683256	1.566697748979162
Mfap4	7.412567142074224	3.375625422908477	2.4782671359276174	3.874784687531599	2.543575083653578	7.077794839992199	1.5284167639529362	1.7870515259928035	2.7379617642761063	2.303176082066352	2.591412915052862	2.5189961232829416	1.8281915029674798	2.8536090014552147	2.507779458489547	2.1387260146249116	2.7483654573446867	5.65352443063993	2.656507466067859	2.4390448035194696	3.1342264240584736	4.8800373016981915	1.8509426057572218	1.9171134397227019	2.5467096734570935	2.101104928743565	1.8567417512097952	2.8516201402855232	2.0778245470105565	2.300211973974522	2.4824435333630035
Cdo1	6.610318017287575	4.335056459351153	1.4081120512922582	2.7718387209248747	1.8036506577999334	3.9211174114387815	1.3598977630340408	1.7389945042084287	1.5874096046303163	1.4096923275600133	1.3013365751883177	1.5004866683600662	2.9727911098192843	1.950290863578227	4.917955571558099	1.5566832340166876	1.5835138188123645	5.084571535063253	1.4892487993375136	2.199680433058309	1.9115039018507933	5.550983439234119	1.5344027753935576	1.2923555099885078	1.7076985181352846	1.4017872297098182	0.9296905334519622	1.6469518183539074	1.8613392735723981	0.7753024165359205	1.119558768584686
Cdh11	6.755955885496047	2.223807918120617	1.1778052930226055	2.5942497327290255	1.6728626541100922	6.262739138116839	0.8766822893475221	1.2580545365886482	1.0322468368734357	1.012471008575286	1.124112002361826	1.5212207105610054	1.085628919166697	1.7738571881038319	6.024043598030456	1.2758652751289548	1.1455510946730132	3.1674948360934927	1.7649124556229798	1.6269509088598497	1.796084852971057	3.595419142777303	0.9434662088661282	1.1381244981684353	1.7942465634125844	1.1068821790198402	0.9415250374543973	1.7427143348268102	0.9258920884262747	1.4886409090852044	1.1764997237890955
Colec12	6.879695797270844	2.375344338073538	1.6191105475981526	2.767113380243314	1.8408642737822891	6.44895529710462	1.0024459930955638	2.5319862181603874	1.1802381638491122	1.5635906066215421	1.3796416098080244	1.6682935898247357	1.4543585060213207	4.6335341142230435	5.707641660843162	1.6360271857364532	1.7147996339293918	5.8350357269301085	2.124014549487262	1.558367826491001	1.91727690609485	4.750219264692055	4.199825253881407	3.1713507847780282	2.0278460438958534	1.5144127280758177	1.6071974048875102	3.095471322811391	1.6072226765395565	1.131428759446271	2.3083414760156646
Sod3	7.047360451597286	4.177024784145582	1.7289471894494979	3.382320839022895	2.1013200564852346	6.656674851097172	1.1219945246074412	1.36807360476934	1.9027598049150098	1.360842576413592	1.6383054365985825	1.9157398554962342	1.6578228393067034	1.8749111648838679	3.695981514217171	1.6999501370220078	1.6119595185078859	7.007948106453935	2.153249588067467	2.1706234981081196	2.2989205457999726	6.912918571149946	1.3867080422838731	1.5004386055603671	2.307538885724448	1.4772663925951932	1.2843291508164165	2.187569108738447	1.26509472687031	2.351760152885793	1.7919553253163065
Gpm6b	6.638330251528598	4.190157792286051	1.557735688802693	3.1009597369902235	2.379000193918668	6.222470513485	2.3306713981683584	1.878397382593801	1.3427050050066238	1.2241110826159471	1.2527671953333595	1.5379177875411902	3.1102115242584056	1.382120636870874	1.763746967903798	0.893732323853872	1.3014310418931438	5.197736986996102	1.7651572203282955	1.7120958721083208	2.519364058934272	3.1758903613648233	1.139181883881301	0.9612471674846043	1.8510857069005244	2.2272328848438905	0.8796013233356907	1.5655933036483436	1.2036417578417122	2.5796408833904882	1.2601326283375307
Col13a1	6.175874814733752	2.6306238370383053	0.6277854556818657	2.204990960190748	1.1404297459360957	4.465848198709818	0.7280075923215984	0.41176185304740526	0.6091016138433044	0.6507228096589754	0.7260526363574051	0.8441399271053446	0.8141313254365381	1.4494259204684843	1.2422093994341457	0.7773880801811559	0.7364363336580215	2.013136997638585	1.0699656854447679	1.1152891437618895	1.2624049360172225	1.6465951313940432	1.2365128127055691	0.7111355100364459	1.3275440022467286	0.7402643441197002	0.7455925358075747	1.0635423368975083	0.7006404807037311	1.1971175019779825	0.7620422723306376
Gyg	6.864000325518347	3.6028181793763983	3.118211132070107	3.5404378425641645	2.8608140127148305	5.108255262797011	3.6060149443746305	2.630859899683976	3.4685525088373637	2.9944708043353683	3.539877123540191	3.5470100127406905	3.1374405556536824	3.045423659025341	3.3068959034213377	3.957353870369573	3.590515070245776	3.9676420087933395	3.6823228718946543	3.1788055986025037	3.4799290238955756	4.107484674192471	3.053595076834295	5.457043492167899	4.349562306277791	4.12418491701924	5.159064912191369	3.424845840301669	4.761250299043043	5.6927860654644125	5.067012979948338
Pcolce2	7.2156325166314845	3.635448404373782	2.0901627742949827	3.886366444018788	2.375326087279904	6.84892895717865	1.4178289209114776	1.2291972857561417	2.1243425845303507	2.265102562100024	5.421701143533878	2.121961221145452	1.689311108716535	2.060943044150824	2.240824642812987	2.107614884254714	2.0423391120854526	6.323997194129366	2.5586938051645447	2.161682750555215	2.522117144285101	4.129259357981282	1.7627887626085528	1.5724536886692837	2.332660650133598	1.8992882054049478	1.5958653727419934	2.0774385366414294	1.4575540665785722	2.6383037845632495	2.129493499656351
Prelp	7.041473286736543	6.656979635433546	1.876505912424943	3.3395522521759964	2.0893775513268764	6.421593088291101	1.9260207298261016	1.5284533704523096	1.564789634383865	1.8340390478461162	1.7431274695347496	1.8114496388641992	2.9464583888096803	5.889796146536314	5.920950483581649	1.9165585047661564	1.9987824363308202	6.665718168524031	2.1077136223752704	2.2991767516639814	2.192218025533386	6.156982490482864	2.1015627208126184	1.4867201954319396	2.008355148005641	1.5652942221686656	0.9823691882907372	2.1589133293557294	1.1716644606979123	1.5934786849835334	1.6117609250233123
Ptprd	6.457265753218302	2.8635285877463903	1.0233580515940772	2.4552291460538442	1.4190089793208596	5.592554398705411	0.6403779750844537	0.7001417853751244	0.826256174493524	2.0696272231445247	1.4943535836607746	1.2533463323703355	2.179597155249181	0.7492547373739766	5.992306986654321	1.5178257443836012	0.799474613627866	4.1618921194903535	1.6100922821668076	1.8292644289464304	1.5907121808277687	3.6747746353455115	1.3822624085258557	0.8832463171404055	1.5023284258519505	0.8600303399830471	0.7978225490037126	1.260010204374667	0.8202519944079213	1.4590200645883395	0.8835525585757491
Myh10	6.583495455766293	3.715738816340859	3.205244973211811	3.3545942267035405	2.143393879131621	5.563211855635813	3.1779658783339753	2.665993599570932	1.38333958204743	1.7115213969325258	1.4009013819494314	2.8305247672730243	1.6069953940431434	4.067587391727355	5.327604745789031	1.4499477726950163	1.1631058209874947	6.185061038543084	1.6584304861469097	2.020197754145902	1.8427058730102395	5.836669996189447	2.047797412138307	1.13075869295161	1.6298595752484386	1.6209095661259283	0.9807857362504045	2.9011678776878274	1.1608143315358384	1.625105562360253	1.110238299987809
Fhl1	7.199236775690323	5.76681239381192	5.752023984636126	4.749163434615988	2.676421336706608	6.609414156234909	2.8121697952322893	3.5283159631868757	2.5088582580345067	4.037053624538169	2.5602611902434202	5.082504250901886	2.8612350143158856	4.364195416959495	4.977182596666218	2.722694745959365	2.375558331068684	6.381351165691576	2.8243062166667805	3.8543773704073114	2.838891545259682	6.950603428614832	4.630340668391908	1.9704236048347783	2.52235979434912	1.5777300215421872	1.7621643361920656	2.5856650929256624	1.6410484581653941	3.2034976888845086	2.3893336532579537
Hsd11b1	7.0390325135264025	7.177590782938923	1.970001074433037	3.8196399507764855	2.0550597502056847	5.982282465970451	1.1407621919004012	1.1961415983217778	2.7078274740506663	1.6866212920357746	1.934357840543789	1.7787547572062234	1.6713923806935405	2.3824993552249905	2.407930261794912	5.177802238671013	3.4610737990992746	2.8440474815267454	3.798189066715045	2.1898428134429566	4.557518295226674	2.415234987674287	1.5588620073653554	2.1592926711041063	2.239758389998897	3.0008472225525344	2.705201849774601	2.0923975831405746	1.5385601965436402	2.0991579041236244	3.9217151936739154
Ogn	7.228192786862031	3.2474383810282665	2.388240705061555	3.6348591469600477	2.317191126187771	6.96648158251189	1.0246304881091108	1.602245714177144	2.0282097519079696	1.7849415219925615	1.89194029026994	1.8829476869126751	1.4515019128758644	2.1221395235399343	6.322089957427253	1.901803625817117	1.9881698993574926	7.087652626709531	2.166165650003493	2.071312098772222	2.6293194604659367	6.095845813308093	1.7955368523541888	1.5158724706578595	2.6635019734529917	1.6725905201715985	1.5486163856728745	2.3761028823605903	1.2802282487480425	2.586581367237322	1.9971794555308617
Fn1	7.280028266347296	4.314127810474554	2.529386952346618	3.3994519110676533	2.333411031692337	6.340577107176183	5.288885217864669	4.6902073840264755	2.082993075736132	2.107142656315719	2.115468762429879	2.487327618782088	4.566520420532973	5.194316430099027	3.8988716829607473	1.9153483535586935	2.420302838862336	4.586950632687335	2.3146135005014883	3.5874782020953058	2.727661558157907	5.908409960025021	2.2720875691948983	6.595672492098053	3.217065412626136	3.8905194330695227	7.15424629534179	2.7790951599684415	5.585417401816963	2.051001130572143	3.2828534564149856
Mgp	8.28634727006197	5.803481200161719	3.666130754613313	5.178086336712859	3.4752648211647226	8.268371669808662	2.8307517055555995	6.954486803943184	4.638256101721851	4.150019940502373	4.356051196609705	3.3320223643474125	3.47265470962775	4.686058078579825	7.685843408054897	4.098690769557815	4.812376743493551	8.4006808324244	4.22076741740114	3.6337615264778607	4.885381252817115	7.938047323031377	5.401486053253755	2.851584343823889	3.7393248531160386	2.9387115647838087	2.666557382851397	4.2711385522378675	2.9962064631028853	4.314362285328124	3.4839174264788264
Nox4	6.252790155401523	4.300154020434117	0.8861034044223102	2.313990181833613	1.3583389049455785	5.291198446282023	0.8371346733051072	0.681654812220596	0.9185211860217716	0.7296688218638436	0.9951663448840743	1.0406581950023823	1.1851990665025138	3.4362849217266804	1.5581308296670975	0.9436022132955076	1.0514826972614324	5.234711586107241	1.4690445193270585	1.0453995291656877	1.2413253778845854	4.412952580431209	0.9078676217688518	0.8290474672538115	1.2346772899273628	0.8397748907802773	0.7671904606869061	0.9836538446732674	0.8023073420930903	1.708504541752275	1.0483206261734197
Slit2	6.108042704097944	2.620031470742051	0.9879047904486604	2.0929532925380636	1.7821543495092989	4.930948000150797	1.3440549997927422	1.926341695852465	0.9061665861120612	0.7816633157103903	0.63439069137292	2.6926828523193644	2.5911393982977375	0.9948254384905608	3.947003538214492	0.6235617331947874	0.6498876255906949	4.73276725984249	1.4893133963784586	1.8747296429613802	1.0711024683891286	1.6425544386412394	0.9288265743597662	0.7694975071145521	0.9249168856689399	0.7837661977216487	0.5779163772018905	1.2195322758128413	0.5902926479801698	1.4489600566021685	0.7710214656786257
Scarf2	6.424314794902007	5.701701616225826	2.074132674602617	3.4152609607604925	3.737832804965877	5.572341332329627	2.46500343684622	1.0950003493359746	1.0947223988772758	1.4847546611953735	1.2275994920884479	1.4852657091543808	1.9817182143571828	1.5556143844669639	4.320282111231025	1.2633412203307788	1.1338660406495498	4.749359024011006	1.6808604088911314	2.000069351318348	1.6097357501620648	4.564578679821083	2.3235302638640105	1.556884003754212	1.6496278956857986	0.9251356049311575	0.8434736593263059	1.3520955629037605	1.0411325307087609	0.9157089035480126	1.1910109626054797
Mxra8	6.911763140956596	6.636732321821843	3.728026254729802	3.754711672169115	2.522375241958902	6.288109087721812	3.1262931066771893	3.717527080196548	2.1314625367381925	3.058445120972868	2.307122204246247	4.339147569545835	1.9341349659074045	3.5220332119553435	5.3751177328742505	2.5029927448570164	1.772163724667267	6.209462318684329	2.330628503209185	3.2252571467098736	2.465665444489404	5.73087960884242	4.019924832582647	1.4952832433096062	1.9811988376196672	1.2109454752626398	1.3608245407330255	2.124737401185552	1.153239303289296	2.7145145102066626	1.4593321664686825
Rbp1	6.959547824152656	2.904154557599266	1.6273482703208273	3.162769952980783	2.301383160421407	6.941739708897581	1.9656117647106135	2.933638901384997	1.6499093314994866	1.6146059657738154	1.5794869968018803	2.4749817641317113	5.690907930832582	2.640357711691546	6.221856883978263	1.4584584198799713	1.9249344519997251	5.424494086957286	2.196992500580153	2.6606175751783	2.2922203102839487	5.992021369718026	2.883978796849293	1.4557403834318503	1.9240633148137816	1.4833809085184713	1.164970742905596	2.322343068540611	1.1867110562735386	2.0810900702953656	1.7624775962655232
Mamdc2	6.409946132504089	4.969185859339459	1.0823157199289661	2.2496884021460715	1.4390445694226148	5.518542061921601	0.44030956087300227	0.8193783398110269	0.9311777499937597	0.7686603968043841	1.0533163213209304	1.3537665634701015	0.8620937963854265	1.0838773709006355	1.6250904316975434	1.294942067039652	1.2116056683287975	5.020313112210865	1.5153603873242676	1.4907100168634064	1.3990060707340943	5.5193363040449706	0.9889243821759572	3.6238582954871053	1.6574888028049324	1.2874328260171508	1.0840292252797903	1.6951614713529648	1.6982789929886006	1.3199471929404512	1.2726956607319089
Gsn	8.085591955897836	6.553556194233435	6.800927643303263	6.052278383339204	4.665687159171209	8.217009416600131	6.184553991092965	3.526450630895152	4.668757350340767	3.252250941814411	3.5863273710207846	6.8994202644770795	7.1027373644558125	4.304191078592226	4.790909450937042	3.6033416262424045	5.824820515864203	7.696784731440083	4.002695676771841	5.002960975860566	4.254193173015727	7.334207186003659	2.9168402304116126	5.2503992458272934	6.341760039936148	6.143189696448135	4.93104292732671	5.384749860565502	5.207811808530132	4.72225111651351	4.355328903117493
