method	genes_selected	cell_states_evaluated	cell_states_passing_ge5	cell_states_failing_ge5	cell_states_passing_ge10	minimum_marker_hits	median_marker_hits	mean_marker_hits	method_seconds
dispersion_3000	3000	51	27	24	15	0	5.0	7.96078431372549	41.416130781173706
dispersion_2000	2000	51	26	25	14	0	5.0	7.235294117647059	43.81080794334412
dispersion_1000	1000	51	21	30	9	0	4.0	5.745098039215686	43.07534909248352
sparse_gene_coverage_aggressive_3000	3000	51	21	30	9	0	3.0	5.313725490196078	5.812880277633667
sparse_gene_coverage_3000	3000	51	19	32	8	0	3.0	4.686274509803922	5.851154327392578
pca_50pcs_3000	3000	51	18	33	10	0	4.0	5.411764705882353	105.07052206993104
dispersion_500	500	51	15	36	4	0	3.0	4.313725490196078	43.25759387016296
detection_balanced_dispersion_3000	3000	51	15	36	3	0	2.0	3.627450980392157	8.816822052001953
pca_elbow_1.5_3000	3000	51	11	40	5	0	2.0	4.098039215686274	100.40836787223816
pca_elbow_1.0_3000	3000	51	11	40	4	0	1.0	3.6470588235294117	98.85935115814208
variance_3000	3000	51	6	45	1	0	0.0	1.4901960784313726	8.623676776885986
pca_elbow_0.5_3000	3000	51	5	46	2	0	0.0	2.392156862745098	99.2102301120758
