adt_name	rna_genes	notes
Hu.C5L2	C5AR2	
Hu.CD10	MME	
Hu.CD101	CD101	
Hu.CD102	ICAM2	
Hu.CD103	ITGAE	
Hu.CD105_43A3	ENG	
Hu.CD106	VCAM1	
Hu.CD109	CD109	
Hu.CD110	MPL	
Hu.CD112	NECTIN2	
Hu.CD115	CSF1R	
Hu.CD116	CSF2RA	
Hu.CD117	KIT	
Hu.CD119	IFNGR1	
Hu.CD11a	ITGAL	
Hu.CD11b	ITGAM	
Hu.CD11c	ITGAX	
Hu.CD123	IL3RA	
Hu.CD127	IL7R	
Hu.CD13	ANPEP	
Hu.CD133_S16016B	PROM1	
Hu.CD135	FLT3	
Hu.CD138_DL.101	SDC1	
Hu.CD140b	PDGFRB	
Hu.CD141	THBD	
Hu.CD14_M5E2	CD14	
Hu.CD150	SLAMF1	
Hu.CD151	CD151	
Hu.CD154	CD40LG	
Hu.CD155	PVR	
Hu.CD158e1	KIR3DL1	
Hu.CD158f	KIR2DL5A,KIR2DL5B	
Hu.CD15_W6D3	FUT4	
Hu.CD16	FCGR3A,FCGR3B	
Hu.CD162	SELPLG	
Hu.CD163	CD163	
Hu.CD164	CD164	
Hu.CD172a	SIRPA	
Hu.CD177	CD177	
Hu.CD18	ITGB2	
Hu.CD183	CXCR3	
Hu.CD185	CXCR5	
Hu.CD186	CXCR6	
Hu.CD19	CD19	
Hu.CD192	CCR2	
Hu.CD1a	CD1A	
Hu.CD1d	CD1D	
Hu.CD2	CD2	
Hu.CD200	CD200	
Hu.CD201	PROCR	
Hu.CD202b	TEK	
Hu.CD205	LY75	
Hu.CD22	CD22	
Hu.CD226_TX25	CD226	
Hu.CD235a	GYPA	
Hu.CD24	CD24	
Hu.CD25	IL2RA	
Hu.CD26	DPP4	
Hu.CD27	CD27	
Hu.CD271	NGFR	
Hu.CD274	CD274	
Hu.CD279	PDCD1	
Hu.CD28	CD28	
Hu.CD29	ITGB1	
Hu.CD3	CD3D,CD3E,CD3G,CD247	
Hu.CD304	NRP1	
Hu.CD305_LAIR1	LAIR1	
Hu.CD309	KDR	
Hu.CD32	FCGR2A,FCGR2B,FCGR2C	
Hu.CD325	CDH2	
Hu.CD326	EPCAM	
Hu.CD33	CD33	
Hu.CD335	NCR1	
Hu.CD34	CD34	
Hu.CD35	CR1	
Hu.CD354	TREM1	
Hu.CD36	CD36	
Hu.CD366	HAVCR2	
Hu.CD37	CD37	
Hu.CD38_HIT2	CD38	
Hu.CD4	CD4	
Hu.CD41	ITGA2B	
Hu.CD42b	GP1BA	
Hu.CD43	SPN	
Hu.CD45RA	PTPRC	
Hu.CD45RB	PTPRC	
Hu.CD45RO	PTPRC	
Hu.CD45_2D1	PTPRC	
Hu.CD47	CD47	
Hu.CD49b	ITGA2	
Hu.CD4_RPA.T4	CD4	
Hu.CD5	CD5	
Hu.CD52	CD52	
Hu.CD54	ICAM1	
Hu.CD55	CD55	
Hu.CD56	NCAM1	
Hu.CD57	B3GAT1	
Hu.CD58	CD58	
Hu.CD59	CD59	
Hu.CD61	ITGB3	
Hu.CD62L	SELL	
Hu.CD62P	SELP	
Hu.CD63	CD63	
Hu.CD64	FCGR1A,FCGR1B	
Hu.CD69	CD69	
Hu.CD7	CD7	
Hu.CD71	TFRC	
Hu.CD72	CD72	
Hu.CD73	NT5E	
Hu.CD8	CD8A,CD8B	
Hu.CD81	CD81	
Hu.CD82	CD82	
Hu.CD83	CD83	
Hu.CD84	CD84	
Hu.CD85g	LILRB4	
Hu.CD9	CD9	
Hu.CD90	THY1	
Hu.CD93	CD93	
Hu.CD98	SLC3A2	
Hu.CLEC1B	CLEC1B	
Hu.Cadherin.11	CDH11	
Hu.FR.b	FOLR2	
Hu.FceRIa	FCER1A	
Hu.GARP	LRRC32	
Hu.GPR56	ADGRG1	
Hu.Galectin.9	LGALS9	
Hu.HLA.ABC	HLA-A,HLA-B,HLA-C	
Hu.HLA.DR.DP.DQ	HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1	
Hu.IgG.Fc		isotype
Hu.KLRG1	KLRG1	
Hu.TIM.4	TIMD4	
Hu.TSPAN33	TSPAN33	
