adt_clean	adt_raw	has_curated_partner	curated_in_top100	feature_source	n_features	feature_genes
C5L2	Hu.C5L2	TRUE	FALSE	curated+fallback	3	C5AR2,AZU1,MPO
CD10	Hu.CD10	TRUE	TRUE	curated_in_top100	1	MME
CD101	Hu.CD101	TRUE	FALSE	curated+fallback	3	CD101,LGALS1,COTL1
CD102	Hu.CD102	TRUE	FALSE	curated+fallback	3	ICAM2,TUBA1C,TPI1
CD103	Hu.CD103	TRUE	FALSE	curated+fallback	3	ITGAE,LGALS1,RBM47
CD105_43A3	Hu.CD105_43A3	TRUE	TRUE	curated_in_top100	1	ENG
CD106	Hu.CD106	TRUE	TRUE	curated_in_top100	1	VCAM1
CD109	Hu.CD109	TRUE	FALSE	curated+fallback	3	CD109,AIF1,GSTP1
CD110	Hu.CD110	TRUE	FALSE	curated+fallback	3	MPL,SERPINB1,RAB32
CD112	Hu.CD112	TRUE	FALSE	curated+fallback	3	NECTIN2,SERPINB1,ATP8B4
CD115	Hu.CD115	TRUE	FALSE	curated+fallback	3	CSF1R,ELANE,AZU1
CD116	Hu.CD116	TRUE	TRUE	curated_in_top100	1	CSF2RA
CD117	Hu.CD117	TRUE	FALSE	curated+fallback	3	KIT,PRSS57,SNHG29
CD119	Hu.CD119	TRUE	FALSE	curated+fallback	3	IFNGR1,CSTA,RAB31
CD11a	Hu.CD11a	TRUE	FALSE	curated+fallback	3	ITGAL,LGALS1,RBM47
CD11b	Hu.CD11b	TRUE	FALSE	curated+fallback	3	ITGAM,SRGN,S100A8
CD11c	Hu.CD11c	TRUE	FALSE	curated+fallback	3	ITGAX,SRGN,ANXA1
CD123	Hu.CD123	TRUE	FALSE	curated+fallback	3	IL3RA,PLD4,CYBA
CD127	Hu.CD127	TRUE	TRUE	curated_in_top100	1	IL7R
CD13	Hu.CD13	TRUE	TRUE	curated_in_top100	1	ANPEP
CD133_S16016B	Hu.CD133_S16016B	TRUE	TRUE	curated_in_top100	1	PROM1
CD135	Hu.CD135	TRUE	FALSE	curated+fallback	3	FLT3,ELANE,AZU1
CD138_DL.101	Hu.CD138_DL.101	TRUE	FALSE	curated+fallback	3	SDC1,ELANE,AZU1
CD140b	Hu.CD140b	TRUE	FALSE	curated+fallback	3	PDGFRB,ELANE,AZU1
CD141	Hu.CD141	TRUE	FALSE	curated+fallback	3	THBD,FCER1G,RBM47
CD14_M5E2	Hu.CD14_M5E2	TRUE	TRUE	curated_in_top100	1	CD14
CD150	Hu.CD150	TRUE	FALSE	curated+fallback	3	SLAMF1,ELANE,AZU1
CD151	Hu.CD151	TRUE	TRUE	curated_in_top100	1	CD151
CD154	Hu.CD154	TRUE	FALSE	curated+fallback	3	CD40LG,ELANE,AZU1
CD155	Hu.CD155	TRUE	FALSE	curated+fallback	3	PVR,LRMDA,ANXA1
CD158e1	Hu.CD158e1	TRUE	FALSE	curated+fallback	3	KIR3DL1,NKG7,CCL5
CD158f	Hu.CD158f	TRUE	FALSE	curated+fallback	4	KIR2DL5A,KIR2DL5B,SRGN,CFD
CD15_W6D3	Hu.CD15_W6D3	TRUE	FALSE	curated+fallback	3	FUT4,MPO,AZU1
CD16	Hu.CD16	TRUE	TRUE	curated_in_top100	1	FCGR3A
CD162	Hu.CD162	TRUE	FALSE	curated+fallback	3	SELPLG,RBM47,CST3
CD163	Hu.CD163	TRUE	FALSE	curated+fallback	3	CD163,CSTA,CFD
CD164	Hu.CD164	TRUE	FALSE	curated+fallback	3	CD164,PRSS57,SNHG29
CD172a	Hu.CD172a	TRUE	TRUE	curated_in_top100	1	SIRPA
CD177	Hu.CD177	TRUE	FALSE	curated+fallback	3	CD177,NUCB2,TXN
CD18	Hu.CD18	TRUE	TRUE	curated_in_top100	1	ITGB2
CD183	Hu.CD183	TRUE	FALSE	curated+fallback	3	CXCR3,ELANE,AZU1
CD185	Hu.CD185	TRUE	FALSE	curated+fallback	3	CXCR5,HLA-DRA,CD74
CD186	Hu.CD186	TRUE	FALSE	curated+fallback	3	CXCR6,SSBP2,ERG
