adt_raw	adt_atlas	adt_clean	rna_genes
CD235ab_A0196	Hu.CD235ab	CD235ab	GYPA,GYPB
CD45_A0391	Hu.CD45	CD45	PTPRC
CD31_A0124	Hu.CD31	CD31	PECAM1
CD144_A0400	Hu.CD144	CD144	CDH5
CD324_A0135	Hu.CD324	CD324	CDH1
CD326_A0123	Hu.CD326	CD326	EPCAM
CD271_A0816	Hu.CD271	CD271	NGFR
CD49f_A0070	Hu.CD49f	CD49f	ITGA6
CD66c & e_A0188	Hu.CD66c_e	CD66c_e	CEACAM6,CEACAM5
CD55_A0383	Hu.CD55	CD55	CD55
CD140a_A0128	Hu.CD140a	CD140a	PDGFRA
CD140b_A0129	Hu.CD140b	CD140b	PDGFRB
CD73_A0577	Hu.CD73	CD73	NT5E
CD90_A0060	Hu.CD90	CD90	THY1
CD45RA_A0063	Hu.CD45RA	CD45RA	PTPRC
CD19_A0050	Hu.CD19	CD19	CD19
CD20_A0100	Hu.CD20	CD20	MS4A1
CD138_A0831	Hu.CD138	CD138	SDC1
CD27_A0154	Hu.CD27	CD27	CD27
CD38_A0410	Hu.CD38	CD38	CD38
IgD_A0384	Hu.IgD	IgD	IGHD
IgM_A0136	Hu.IgM	IgM	IGHM
CD3_A0034	Hu.CD3	CD3	CD3D,CD3E,CD3G,CD247
CD8_A0046	Hu.CD8	CD8	CD8A,CD8B
CD4_A0072	Hu.CD4	CD4	CD4
CD127_A0390	Hu.CD127	CD127	IL7R
CD69_A0146	Hu.CD69	CD69	CD69
CD103_A0145	Hu.CD103	CD103	ITGAE
CD25_A0085	Hu.CD25	CD25	IL2RA
CCR4_A0071	Hu.CCR4	CCR4	CCR4
CCR6_A0143	Hu.CCR6	CCR6	CCR6
CCR7_A0148	Hu.CCR7	CCR7	CCR7
CD161_A0149	Hu.CD161	CD161	KLRB1
CXCR3_A0140	Hu.CXCR3	CXCR3	CXCR3
CXCR5_A0144	Hu.CXCR5	CXCR5	CXCR5
CD335_A0101	Hu.CD335	CD335	NCR1
CD117_A0061	Hu.CD117	CD117	KIT
FceRIa_A0352	Hu.FceRIa	FceRIa	FCER1A
CD15_A0392	Hu.CD15	CD15	FUT4
HLA-DR_A0159	Hu.HLA-DR	HLA-DR	HLA-DRA,HLA-DRB1,HLA-DRB5
CD1c_A0160	Hu.CD1c	CD1c	CD1C
CD141_A0163	Hu.CD141	CD141	THBD
CD303_A0370	Hu.CD303	CD303	CLEC4C
CD123_A064	Hu.CD123	CD123	IL3RA
CD206_A0205	Hu.CD206	CD206	MRC1
CD169_A0206	Hu.CD169	CD169	SIGLEC1
CD14_A0051	Hu.CD14	CD14	CD14
CD274 (PD-L1)_A0007	Hu.CD274_PD-L1	CD274_PD-L1	CD274
CD279 (PD-1)_A0088	Hu.CD279_PD-1	CD279_PD-1	PDCD1
CD49a_A0575	Hu.CD49a	CD49a	ITGA1
CD41_A0353	Hu.CD41	CD41	ITGA2B
Podoplanin_A0127	Hu.Podoplanin	Podoplanin	PDPN
VEGFR3_A0865	Hu.VEGFR3	VEGFR3	FLT4
CD186_A0804	Hu.CD186	CD186	CXCR6
CCR5_A0141	Hu.CCR5	CCR5	CCR5
CD16_A0083	Hu.CD16	CD16	FCGR3A,FCGR3B
