adt_clean	adt_raw	has_curated_partner	curated_in_top100	feature_source	n_features	feature_genes
CD235ab	Hu.CD235ab	TRUE	FALSE	curated+fallback	4	GYPA,GYPB,CTSB,C5AR1
CD45	Hu.CD45	TRUE	TRUE	curated_in_top100	1	PTPRC
CD31	Hu.CD31	TRUE	TRUE	curated_in_top100	1	PECAM1
CD144	Hu.CD144	TRUE	FALSE	curated+fallback	3	CDH5,EPAS1,PECAM1
CD324	Hu.CD324	TRUE	FALSE	curated+fallback	3	CDH1,C5AR1,ACSL1
CD326	Hu.CD326	TRUE	TRUE	curated_in_top100	1	EPCAM
CD271	Hu.CD271	TRUE	FALSE	curated+fallback	3	NGFR,THBS1,FMN1
CD49f	Hu.CD49f	TRUE	TRUE	curated_in_top100	1	ITGA6
CD66c_e	Hu.CD66c_e	TRUE	TRUE	curated_in_top100	1	CEACAM6
CD55	Hu.CD55	TRUE	TRUE	curated_in_top100	1	CD55
CD140a	Hu.CD140a	TRUE	FALSE	curated+fallback	3	PDGFRA,THBS1,IL1R2
CD140b	Hu.CD140b	TRUE	FALSE	curated+fallback	3	PDGFRB,FMN1,ACSL1
CD73	Hu.CD73	TRUE	FALSE	curated+fallback	3	NT5E,PTPRB,CDH5
CD90	Hu.CD90	TRUE	FALSE	curated+fallback	3	THY1,CALD1,SPARCL1
CD45RA	Hu.CD45RA	TRUE	FALSE	curated+fallback	3	PTPRC,FPR1,CD55
CD19	Hu.CD19	TRUE	FALSE	curated+fallback	3	CD19,SIGLEC10,CD55
CD20	Hu.CD20	TRUE	FALSE	curated+fallback	3	MS4A1,IL1R2,THBS1
CD138	Hu.CD138	TRUE	FALSE	curated+fallback	3	SDC1,CD55,THBS1
CD27	Hu.CD27	TRUE	FALSE	curated+fallback	3	CD27,FMN1,ACSL1
CD38	Hu.CD38	TRUE	FALSE	curated+fallback	3	CD38,CD55,JARID2
IgD	Hu.IgD	TRUE	FALSE	curated+fallback	3	IGHD,THBS1,CD55
IgM	Hu.IgM	TRUE	FALSE	curated+fallback	3	IGHM,ACSL1,FMN1
CD3	Hu.CD3	TRUE	TRUE	curated_in_top100	4	CD3D,CD3E,CD3G,CD247
CD8	Hu.CD8	TRUE	FALSE	curated+fallback	4	CD8A,CD8B,IL1R2,THBS1
CD4	Hu.CD4	TRUE	FALSE	curated+fallback	3	CD4,FPR1,ACSL1
CD127	Hu.CD127	TRUE	FALSE	curated+fallback	3	IL7R,THBS1,IL1R2
CD69	Hu.CD69	TRUE	FALSE	curated+fallback	3	CD69,THBS1,IL1R2
CD103	Hu.CD103	TRUE	FALSE	curated+fallback	3	ITGAE,THBS1,IL1R2
CD25	Hu.CD25	TRUE	FALSE	curated+fallback	3	IL2RA,FMN1,ACSL1
CCR4	Hu.CCR4	TRUE	FALSE	curated+fallback	3	CCR4,C5AR1,ACSL1
CCR6	Hu.CCR6	TRUE	FALSE	curated+fallback	3	CCR6,C5AR1,ACSL1
CCR7	Hu.CCR7	TRUE	FALSE	curated+fallback	3	CCR7,THBS1,ACSL1
CD161	Hu.CD161	TRUE	FALSE	curated+fallback	3	KLRB1,IL1R2,FPR1
CXCR3	Hu.CXCR3	TRUE	FALSE	curated+fallback	3	CXCR3,FPR1,C5AR1
CXCR5	Hu.CXCR5	TRUE	FALSE	curated+fallback	3	CXCR5,THBS1,IL1R2
CD335	Hu.CD335	TRUE	FALSE	curated+fallback	3	NCR1,THBS1,IL1R2
CD117	Hu.CD117	TRUE	FALSE	curated+fallback	3	KIT,THBS1,IL1R2
FceRIa	Hu.FceRIa	TRUE	FALSE	curated+fallback	3	FCER1A,FMN1,SIGLEC10
CD15	Hu.CD15	TRUE	FALSE	curated+fallback	3	FUT4,THBS1,FPR1
HLA-DR	Hu.HLA-DR	TRUE	TRUE	curated_in_top100	3	HLA-DRA,HLA-DRB1,HLA-DRB5
CD1c	Hu.CD1c	TRUE	FALSE	curated+fallback	3	CD1C,FMN1,SIGLEC10
CD141	Hu.CD141	TRUE	TRUE	curated_in_top100	1	THBD
CD303	Hu.CD303	TRUE	FALSE	curated+fallback	3	CLEC4C,THBS1,FMN1
CD123	Hu.CD123	TRUE	FALSE	curated+fallback	3	IL3RA,MRC1,SLCO2B1
CD206	Hu.CD206	TRUE	TRUE	curated_in_top100	1	MRC1
CD169	Hu.CD169	TRUE	FALSE	curated+fallback	3	SIGLEC1,SLC11A1,ACSL1
CD14	Hu.CD14	TRUE	TRUE	curated_in_top100	1	CD14
CD274_PD-L1	Hu.CD274_PD-L1	TRUE	FALSE	curated+fallback	3	CD274,FMN1,FPR1
CD279_PD-1	Hu.CD279_PD-1	TRUE	FALSE	curated+fallback	3	PDCD1,IL1R2,CD55
CD49a	Hu.CD49a	TRUE	TRUE	curated_in_top100	1	ITGA1
CD41	Hu.CD41	TRUE	FALSE	curated+fallback	3	ITGA2B,LAIR2,SLCO2A1
Podoplanin	Hu.Podoplanin	TRUE	FALSE	curated+fallback	3	PDPN,CD55,FMN1
VEGFR3	Hu.VEGFR3	TRUE	FALSE	curated+fallback	3	FLT4,THBS1,SIGLEC10
CD186	Hu.CD186	TRUE	FALSE	curated+fallback	3	CXCR6,FPR1,LDLRAD3
CCR5	Hu.CCR5	TRUE	FALSE	curated+fallback	3	CCR5,C5AR1,STAB1
CD16	Hu.CD16	TRUE	TRUE	curated_in_top100	1	FCGR3A
