adt_name	rna_genes	notes
ADT-Armenian_Hamster_IgG_Isotype_Ctrl		isotype
ADT-CCR3_CD193	Ccr3	
ADT-CD102	Icam2	
ADT-CD105	Eng	
ADT-CD106	Vcam1	
ADT-CD107a_LAMP_1	Lamp1	
ADT-CD117_c_kit	Kit	
ADT-CD11a	Itgal	
ADT-CD11c	Itgax	
ADT-CD127	Il7r	
ADT-CD135	Flt3	
ADT-CD14	Cd14	
ADT-CD140a	Pdgfra	
ADT-CD150_SLAM	Slamf1	
ADT-CD155_PVR	Pvr	
ADT-CD159a_NKG2AB6	Klrc1	
ADT-CD163	Cd163	
ADT-CD169_Siglec_1	Siglec1	
ADT-CD16_32	Fcgr3,Fcgr2b	
ADT-CD170_Siglec_F	Siglecf	
ADT-CD172a_SIRP	Sirpa	
ADT-CD182_CXCR2	Cxcr2	
ADT-CD183_CXCR3	Cxcr3	
ADT-CD19	Cd19	
ADT-CD1d_CD1_1_Ly_38	Cd1d1	
ADT-CD2	Cd2	
ADT-CD20	Ms4a1	
ADT-CD200R_OX2R	Cd200r1	
ADT-CD200_OX2	Cd200	
ADT-CD201_EPCR	Procr	
ADT-CD205_DEC_205	Ly75	
ADT-CD21_CD35_CR2_CR1	Cr2	
ADT-CD22	Cd22	
ADT-CD223_LAG_3	Lag3	
ADT-CD23	Fcer2a	
ADT-CD24	Cd24a	
ADT-CD25	Il2ra	
ADT-CD26_DPP_4	Dpp4	
ADT-CD27	Cd27	
ADT-CD270_HVEM	Tnfrsf14	
ADT-CD274_B7_H1_PD_L1	Cd274	
ADT-CD279_PD_1	Pdcd1	
ADT-CD28	Cd28	
ADT-CD3	Cd3d,Cd3e,Cd3g,Cd247	
ADT-CD300LG_Nepmucin	Cd300lg	
ADT-CD301b	Mgl2	
ADT-CD31	Pecam1	
ADT-CD317_BST2_PDCA_1	Bst2	
ADT-CD34	Cd34	
ADT-CD357_GITR	Tnfrsf18	
ADT-CD36	Cd36	
ADT-CD371_CLEC12A	Clec12a	
ADT-CD38	Cd38	
ADT-CD4	Cd4	
ADT-CD40	Cd40	
ADT-CD41	Itga2b	
ADT-CD43	Spn	
ADT-CD45	Ptprc	
ADT-CD45_1	Ptprc	
ADT-CD45_2	Ptprc	
ADT-CD48	Cd48	
ADT-CD49a	Itga1	
ADT-CD49b	Itga2	
ADT-CD49d	Itga4	
ADT-CD5	Cd5	
ADT-CD51	Itgav	
ADT-CD54	Icam1	
ADT-CD55_DAF	Cd55	
ADT-CD62L	Sell	
ADT-CD63	Cd63	
ADT-CD64	Fcgr1	
ADT-CD69	Cd69	
ADT-CD71	Tfrc	
ADT-CD73	Nt5e	
ADT-CD79b_Ig	Cd79b	
ADT-CD85k_gp49_Receptor	Lilr4b,Lilrb4a	
ADT-CD86	Cd86	
ADT-CD8a	Cd8a,Cd8b1	
ADT-CD9	Cd9	
ADT-CD90_2	Thy1	
ADT-CD93_AA4_1_early_B_lineage	Cd93	
ADT-CD95_Fas	Fas	
ADT-CX3CR1	Cx3cr1	
ADT-ESAM	Esam	
ADT-F4_80	Adgre1	
ADT-IL_33R__IL1RL1_ST2	Il1rl1	
ADT-I_A_I_E	H2-Aa,H2-Ab1,H2-Eb1	
ADT-IgD	Ighd	
ADT-IgM	Ighm	
ADT-Ly108	Slamf6	
ADT-Ly_49A	Klra1	
ADT-Ly_6A_E_Sca_1	Ly6a,Ly6e	
ADT-Ly_6C	Ly6c1,Ly6c2	
ADT-Ly_6G	Ly6g	
ADT-Mouse_IgG1___isotype_Ctrl		isotype
ADT-Mouse_IgG2a___isotype_Ctrl		isotype
ADT-Mouse_IgG2b___isotype_Ctrl		isotype
ADT-NK_1_1	Klrb1c	
ADT-PIR_A_B	Pira2,Pirb	
ADT-Rat_IgG1___Isotype_Ctrl		isotype
ADT-Rat_IgG1___isotype_Ctrl		isotype
ADT-Rat_IgG2a___Isotype_Ctrl		isotype
ADT-Rat_IgG2b___Isotype_Ctrl		isotype
ADT-Rat_IgG2c___Isotype_Ctrl		isotype
ADT-Siglec_H	Siglech	
ADT-TER_119_Erythroid_Cells	Gypa	
ADT-Tim_4	Timd4	
ADT-anti_human_mouse_CD49f	Itga6	
ADT-anti_human_mouse_integrin_7	Itgb7	
ADT-anti_mouse_human_CD11b	Itgam	
ADT-anti_mouse_human_CD44	Cd44	
ADT-anti_mouse_human_CD45R_B220	Ptprc	
ADT-anti_mouse_rat_CD29	Itgb1	
ADT-anti_mouse_rat_CD61	Itgb3	
ADT-anti_mouse_rat_CD81	Cd81	
ADT-anti_mouse_rat_human_CD27	Cd27	
