adt_clean	adt_raw	has_curated_partner	curated_in_top100	feature_source	n_features	feature_genes
CD62L	ADT-CD62L	TRUE	TRUE	curated_in_top100	1	Sell
CD183_CXCR3	ADT-CD183_CXCR3	TRUE	FALSE	curated+fallback	3	Cxcr3,AY036118,Malat1
CD14	ADT-CD14	TRUE	FALSE	curated+fallback	3	Cd14,AY036118,Lsp1
CD170_Siglec_F	ADT-CD170_Siglec_F	TRUE	TRUE	curated_in_top100	1	Siglecf
CX3CR1	ADT-CX3CR1	TRUE	FALSE	curated+fallback	3	Cx3cr1,Ptprc,Malat1
CD4	ADT-CD4	TRUE	FALSE	curated+fallback	3	Cd4,Zfp36,Ctla2a
CD8a	ADT-CD8a	TRUE	FALSE	curated+fallback	4	Cd8a,Cd8b1,Chil3,Lsp1
CD279_PD_1	ADT-CD279_PD_1	TRUE	FALSE	curated+fallback	3	Pdcd1,AY036118,Lsp1
CD117_c_kit	ADT-CD117_c_kit	TRUE	TRUE	curated_in_top100	1	Kit
Ly_6C	ADT-Ly_6C	TRUE	TRUE	curated_in_top100	1	Ly6c2
CD11b	ADT-anti_mouse_human_CD11b	TRUE	TRUE	curated_in_top100	1	Itgam
Ly_6G	ADT-Ly_6G	TRUE	TRUE	curated_in_top100	1	Ly6g
CD49f	ADT-anti_human_mouse_CD49f	TRUE	TRUE	curated_in_top100	1	Itga6
CD44	ADT-anti_mouse_human_CD44	TRUE	FALSE	curated+fallback	3	Cd44,Hp,Ncf1
CD54	ADT-CD54	TRUE	FALSE	curated+fallback	3	Icam1,H2-K1,Ptprcap
CD90_2	ADT-CD90_2	TRUE	FALSE	curated+fallback	3	Thy1,Ctla2a,B2m
CD73	ADT-CD73	TRUE	FALSE	curated+fallback	3	Nt5e,Mmp9,Plbd1
CD49d	ADT-CD49d	TRUE	FALSE	curated+fallback	3	Itga4,Mt1,Cks2
CD200_OX2	ADT-CD200_OX2	TRUE	FALSE	curated+fallback	3	Cd200,Zfp36,Lsp1
CD19	ADT-CD19	TRUE	TRUE	curated_in_top100	1	Cd19
CD45	ADT-CD45	TRUE	TRUE	curated_in_top100	1	Ptprc
CD25	ADT-CD25	TRUE	FALSE	curated+fallback	3	Il2ra,S100a11,Cd63
CD45R_B220	ADT-anti_mouse_human_CD45R_B220	TRUE	TRUE	curated_in_top100	1	Ptprc
CD102	ADT-CD102	TRUE	FALSE	curated+fallback	3	Icam2,Cdk6,Ptma
CD11c	ADT-CD11c	TRUE	FALSE	curated+fallback	3	Itgax,AY036118,Lsp1
CD21_CD35_CR2_CR1	ADT-CD21_CD35_CR2_CR1	TRUE	FALSE	curated+fallback	3	Cr2,Lars2,AY036118
CD23	ADT-CD23	TRUE	FALSE	curated+fallback	3	Fcer2a,Egr1,Fos
CD16_32	ADT-CD16_32	TRUE	TRUE	curated_in_top100	1	Fcgr3
CD43	ADT-CD43	TRUE	FALSE	curated+fallback	3	Spn,Tuba4a,Cdca8
CD5	ADT-CD5	TRUE	FALSE	curated+fallback	3	Cd5,Flt3,Ptprcap
CD93_AA4_1_early_B_lineage	ADT-CD93_AA4_1_early_B_lineage	TRUE	TRUE	curated_in_top100	1	Cd93
F4_80	ADT-F4_80	TRUE	FALSE	curated+fallback	3	Adgre1,Pbx1,Ptprc
I_A_I_E	ADT-I_A_I_E	TRUE	FALSE	curated+fallback	5	H2-Aa,H2-Ab1,H2-Eb1,Ctla2a,B2m
NK_1_1	ADT-NK_1_1	TRUE	FALSE	curated+fallback	3	Klrb1c,AY036118,Lsp1
Siglec_H	ADT-Siglec_H	TRUE	FALSE	curated+fallback	3	Siglech,Lsp1,Plbd1
TER_119_Erythroid_Cells	ADT-TER_119_Erythroid_Cells	TRUE	TRUE	curated_in_top100	1	Gypa
Ly_6A_E_Sca_1	ADT-Ly_6A_E_Sca_1	TRUE	TRUE	curated_in_top100	1	Ly6a
CD45_2	ADT-CD45_2	TRUE	TRUE	curated_in_top100	1	Ptprc
CD45_1	ADT-CD45_1	TRUE	TRUE	curated_in_top100	1	Ptprc
CD3	ADT-CD3	TRUE	FALSE	curated+fallback	6	Cd3d,Cd3e,Cd3g,Cd247,Plbd1,Ptprc
CD274_B7_H1_PD_L1	ADT-CD274_B7_H1_PD_L1	TRUE	FALSE	curated+fallback	3	Cd274,Srgn,H2-K1
human_CD27	ADT-anti_mouse_rat_human_CD27	TRUE	TRUE	curated_in_top100	1	Cd27
CD20	ADT-CD20	TRUE	FALSE	curated+fallback	3	Ms4a1,C1qa,Mrc1
CD357_GITR	ADT-CD357_GITR	TRUE	FALSE	curated+fallback	3	Tnfrsf18,Ctla2a,Gimap1
CD69	ADT-CD69	TRUE	FALSE	curated+fallback	3	Cd69,Ptprc,Lsp1
CD86	ADT-CD86	TRUE	FALSE	curated+fallback	3	Cd86,B2m,Gimap6
CD150_SLAM	ADT-CD150_SLAM	TRUE	FALSE	curated+fallback	3	Slamf1,Pbx1,Malat1
CD24	ADT-CD24	TRUE	TRUE	curated_in_top100	1	Cd24a
integrin_7	ADT-anti_human_mouse_integrin_7	TRUE	TRUE	curated_in_top100	1	Itgb7
CD106	ADT-CD106	TRUE	TRUE	curated_in_top100	1	Vcam1
CD223_LAG_3	ADT-CD223_LAG_3	TRUE	FALSE	curated+fallback	3	Lag3,S100a8,Wfdc21
CD300LG_Nepmucin	ADT-CD300LG_Nepmucin	TRUE	FALSE	curated+fallback	3	Cd300lg,Lsp1,Lars2
CD163	ADT-CD163	TRUE	FALSE	curated+fallback	3	Cd163,Fcer1g,Lgals3
CD49b	ADT-CD49b	TRUE	FALSE	curated+fallback	3	Itga2,Ctla2a,Adgrg1
CD172a_SIRP	ADT-CD172a_SIRP	TRUE	FALSE	curated+fallback	3	Sirpa,Cybb,Tmsb4x
