,Exon stable ID,Gene start (bp),Gene end (bp),Gene name,Protein stable ID,Transcript start (bp),Transcript end (bp),CDD start,CDD end
0,ENSAPOE00000120411,288439,298458,zgc:63972,ENSAPOP00000020934,288439,298458,,
1,ENSAPOE00000120412,288439,298458,zgc:63972,ENSAPOP00000020934,288439,298458,,
2,ENSAPOE00000120413,288439,298458,zgc:63972,ENSAPOP00000020934,288439,298458,,
3,ENSAPOE00000120414,288439,298458,zgc:63972,ENSAPOP00000020934,288439,298458,,
4,ENSAPOE00000120415,288439,298458,zgc:63972,ENSAPOP00000020934,288439,298458,,
5,ENSAPOE00000120416,288439,298458,zgc:63972,ENSAPOP00000020934,288439,298458,,
6,ENSAPOE00000000170,290637,294901,,ENSAPOP00000020929,290637,294901,,
7,ENSAPOE00000000171,290637,294901,,ENSAPOP00000020929,290637,294901,,
8,ENSAPOE00000000174,290637,294901,,ENSAPOP00000020929,290637,294901,,
9,ENSAPOE00000000177,290637,294901,,ENSAPOP00000020929,290637,294901,,
10,ENSAPOE00000000280,290637,294901,,ENSAPOP00000020929,290637,294901,,
